,fnlwgt,marital-status,occupation,relationship,capital-loss,education-num,workclass,capital-gain,first_name,last_names
32592,272338,Married-civ-spouse,Adm-clerical,Wife,0,9,Private,0,Johnathan,Elliott
32593,189487,Never-married,Sales,Own-child,0,10,Private,0,Stephanie,Collins
32594,54052,Married-civ-spouse,Sales,Husband,0,14,Self-emp-inc,0,Bonnie,Kim
32595,54507,Never-married,Machine-op-inspct,Not-in-family,0,9,Private,0,Danny,Brown
32596,216824,Married-civ-spouse,Adm-clerical,Husband,0,15,Local-gov,0,Joe,Walker
32597,595000,Never-married,Handlers-cleaners,Other-relative,0,9,Private,0,Carlos,Richard
32598,248476,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Howard,Bennett
32599,219611,Married-civ-spouse,Exec-managerial,Husband,0,13,Private,0,Stephen,Riley
32600,131776,Divorced,Prof-specialty,Unmarried,0,13,Private,914,Barbara,Wilson
32601,232475,Never-married,Sales,Own-child,0,10,Private,0,Jay,Campos
32602,179512,Separated,Exec-managerial,Unmarried,0,9,Private,0,Kristina,Freeman
32603,302195,Never-married,Sales,Not-in-family,0,13,Private,0,Adrienne,Perkins
32604,331861,Never-married,Exec-managerial,Not-in-family,0,13,Private,0,Amy,Stanley
32605,188900,Married-civ-spouse,Exec-managerial,Wife,0,13,Private,0,Kyle,Duffy
32606,174276,Widowed,Sales,Unmarried,0,10,Private,0,Cynthia,Campbell
32607,195681,Never-married,Prof-specialty,Not-in-family,0,10,Private,0,Justin,Barrett
32608,123785,Never-married,Other-service,Not-in-family,0,9,Private,0,Christina,Parks
32609,60116,Never-married,Adm-clerical,Own-child,0,6,Self-emp-not-inc,0,Tiffany,Reed
32610,180096,Married-civ-spouse,Handlers-cleaners,Husband,0,9,Private,0,Taylor,Garza
32611,72257,Divorced,Handlers-cleaners,Not-in-family,0,9,Private,0,Carlos,Cowan
32612,127647,Separated,Adm-clerical,Unmarried,0,10,Private,0,Richard,Lawson
32613,128553,Never-married,Exec-managerial,Own-child,0,10,Private,0,Joanna,Espinoza
32614,130849,Never-married,Other-service,Own-child,0,7,Private,0,Claudia,Turner
32615,248851,Never-married,Other-service,Own-child,0,13,Private,0,Isabel,Thompson
32616,127610,Never-married,Adm-clerical,Not-in-family,0,13,Federal-gov,0,Alexandria,Clark
32617,114798,Never-married,?,Own-child,0,7,?,0,Mark,Jones
32618,181820,Never-married,Adm-clerical,Own-child,0,10,Private,0,Elizabeth,Garrett
32619,74581,Divorced,Prof-specialty,Unmarried,0,,Local-gov,0,Dean,Nichols
32620,57827,Never-married,?,Own-child,0,10,?,0,Sheri,Lynn
32621,136431,Married-civ-spouse,,Husband,0,9,,9386,Kristen,Martin
32622,250149,Married-civ-spouse,Prof-specialty,Husband,0,10,Private,0,Brittany,Brown
32623,197457,Divorced,Tech-support,Unmarried,0,9,Private,1471,Jesus,Norman
32624,191830,Married-civ-spouse,,Husband,0,9,,0,Tom,Griffin
32625,179013,Separated,Craft-repair,Not-in-family,0,9,Private,0,Anne,Smith
32626,188382,Married-civ-spouse,Machine-op-inspct,Husband,0,10,Private,0,Adrian,Henry
32627,48894,Married-civ-spouse,Adm-clerical,Own-child,0,9,Private,0,Valerie,Brown
32628,348172,Married-civ-spouse,Farming-fishing,Husband,0,13,Local-gov,7298,Karen,Hill
32629,24361,Never-married,Prof-specialty,Not-in-family,0,15,Private,10520,Megan,Johnston
32630,169180,Divorced,Adm-clerical,Not-in-family,0,11,Private,0,Morgan,Rodriguez
32631,310969,Married-civ-spouse,Prof-specialty,Husband,0,15,State-gov,0,Tyler,Wilson
32632,362873,Married-civ-spouse,Tech-support,Husband,0,13,Private,0,Nicole,Rodriguez
32633,96483,Married-civ-spouse,Adm-clerical,Other-relative,0,12,Private,5178,Molly,Bennett
32634,75104,Married-civ-spouse,Prof-specialty,Husband,0,13,Private,0,Douglas,Collins
32635,235307,Married-civ-spouse,Prof-specialty,Husband,0,13,Private,0,Susan,Jackson
32636,330571,Never-married,Prof-specialty,Not-in-family,0,13,Private,0,Jennifer,Montgomery
32637,198206,Divorced,Other-service,Not-in-family,0,10,Private,0,Hannah,Walsh
32638,179633,Never-married,Tech-support,Other-relative,0,9,Private,0,Christopher,Gordon
32639,68330,Married-civ-spouse,Craft-repair,Husband,1485,9,Private,0,Christopher,Roth
32640,142738,Never-married,Prof-specialty,Own-child,0,10,Private,14084,Anna,Johnson
32641,138026,Married-civ-spouse,Adm-clerical,Wife,0,9,Private,0,William,Watkins
32642,369677,Separated,Sales,Not-in-family,0,6,Private,0,Mr.,Victor
32643,100345,Never-married,Craft-repair,Not-in-family,0,13,Private,13550,Philip,Perkins
32644,186916,Divorced,Protective-serv,Not-in-family,0,14,Federal-gov,0,Cynthia,Skinner
32645,188465,Divorced,Other-service,Not-in-family,0,9,Private,0,Andrea,Singh
32646,133986,Separated,Transport-moving,Unmarried,0,6,Private,0,Larry,Anthony
32647,275943,Married-civ-spouse,?,Husband,0,10,?,0,Tina,Gomez
32648,476391,Divorced,Farming-fishing,Not-in-family,0,10,Private,0,Lauren,Vega
32649,197756,Married-civ-spouse,Sales,Wife,0,10,Private,0,Shelby,Ibarra
32650,74660,Widowed,Prof-specialty,Unmarried,0,10,Local-gov,0,Debra,Charles
32651,333677,Never-married,Exec-managerial,Own-child,0,13,Private,2463,Diana,Conley
32652,368355,Married-civ-spouse,Exec-managerial,Husband,0,13,Private,0,Rhonda,Cline
32653,392167,Divorced,Sales,Not-in-family,0,6,Private,0,Ms.,Laura
32654,309903,Never-married,Other-service,Unmarried,0,6,Private,0,Jonathan,Baker
32655,205706,Never-married,Exec-managerial,Not-in-family,0,9,Private,0,Thomas,Estes
32656,122493,Married-civ-spouse,Prof-specialty,Husband,0,13,Federal-gov,4064,Reginald,Ford
32657,206253,Never-married,Exec-managerial,Not-in-family,0,5,Private,0,Bridget,Andersen
32658,203776,Married-civ-spouse,Exec-managerial,Husband,0,12,Private,0,Susan,Wood
32659,145933,Never-married,Exec-managerial,Not-in-family,2258,9,Private,0,Alec,Palmer
32660,38918,Never-married,Transport-moving,Not-in-family,1876,9,Private,0,Howard,Diaz
32661,340665,Married-civ-spouse,Machine-op-inspct,Husband,2057,10,Private,0,Mr.,Larry
32662,223367,Never-married,Handlers-cleaners,Own-child,0,10,Private,0,Monica,James
32663,133586,Married-civ-spouse,Exec-managerial,Wife,0,,State-gov,0,Rhonda,Whitaker
32664,229465,Married-civ-spouse,Exec-managerial,Husband,0,14,Private,0,Joann,Jones
32665,177163,Widowed,Prof-specialty,Unmarried,0,14,Local-gov,914,Julie,Gallagher
32666,50162,Married-civ-spouse,Exec-managerial,Husband,0,10,Private,0,Dennis,Kent
32667,136309,Never-married,Tech-support,Not-in-family,0,12,Private,0,Brittany,Stephenson
32668,141003,Never-married,Other-service,Own-child,0,11,Private,0,Bryan,Richard
32669,229116,Divorced,Prof-specialty,Not-in-family,0,15,Self-emp-inc,0,Donald,King
32670,168211,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Brenda,Phillips
32671,32365,Never-married,Protective-serv,Not-in-family,0,10,Private,0,Paul,Bishop
32672,73986,Married-civ-spouse,Craft-repair,Husband,0,4,Self-emp-not-inc,0,Meredith,Huerta
32673,95255,Divorced,Adm-clerical,Unmarried,0,10,Private,0,Jill,Perkins
32674,142282,Never-married,Prof-specialty,Not-in-family,0,13,State-gov,0,Dr.,Dorothy
32675,159897,Never-married,Exec-managerial,Not-in-family,0,9,Private,0,Jennifer,Bradley
32676,19678,Married-AF-spouse,Sales,Wife,0,13,Private,0,Jennifer,Dickerson
32677,250541,Never-married,Other-service,Own-child,0,6,Private,0,Katie,Edwards
32678,137895,Married-civ-spouse,Sales,Husband,0,9,Private,0,Joseph,Nash
32679,156383,Married-civ-spouse,Adm-clerical,Wife,0,13,Private,0,Katie,Massey
32680,119992,Married-civ-spouse,Farming-fishing,Husband,0,6,Private,0,Sherry,Clark
32681,369902,Widowed,,Not-in-family,0,9,,0,Barbara,White
32682,311231,Married-civ-spouse,Prof-specialty,Husband,1485,15,Self-emp-inc,0,Joseph,Beck
32683,261023,Married-civ-spouse,Craft-repair,Husband,1651,10,Private,0,Zachary,Salazar
32684,151626,Never-married,Prof-specialty,Own-child,0,9,Local-gov,0,David,Smith
32685,85815,Divorced,?,Own-child,0,9,?,0,Alexa,Walls
32686,102569,Married-civ-spouse,Craft-repair,Husband,0,9,Federal-gov,0,Matthew,Hayes
32687,469907,Married-civ-spouse,Protective-serv,Husband,1740,12,State-gov,0,Erica,Lee
32688,104457,Married-spouse-absent,Machine-op-inspct,Not-in-family,0,13,Private,0,Susan,Keller
32689,314649,Married-spouse-absent,Farming-fishing,Unmarried,0,9,Private,0,Kathleen,Alvarado
32690,120238,Married-civ-spouse,Transport-moving,Husband,0,7,Private,5178,Beth,Olson
32691,183279,Married-civ-spouse,Adm-clerical,Husband,0,9,State-gov,0,David,Moss
32692,188957,Never-married,Sales,Not-in-family,0,13,Self-emp-not-inc,0,Melody,Jones
32693,292774,Never-married,,Own-child,0,9,,0,Christine,Burns
32694,330802,Never-married,Adm-clerical,Own-child,0,9,Private,0,Kyle,Martinez
32695,187346,Never-married,Sales,Own-child,0,9,Private,0,Jesse,Vasquez
32696,209900,Divorced,Prof-specialty,Not-in-family,0,10,Private,0,Gregory,Cruz
32697,291414,Married-civ-spouse,Handlers-cleaners,Husband,0,7,Private,0,Anthony,Hughes
32698,237720,Never-married,Prof-specialty,Not-in-family,0,13,Private,0,Joseph,Dunn
32699,80680,Divorced,Machine-op-inspct,Own-child,0,10,Private,0,Samuel,Ramos
32700,60269,Married-civ-spouse,Sales,Husband,0,13,Self-emp-not-inc,0,Laura,Jefferson
32701,159732,Never-married,Machine-op-inspct,Not-in-family,0,9,Private,0,Jenna,Rodriguez
32702,78020,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Janet,Parker
32703,183639,Never-married,Handlers-cleaners,Unmarried,0,9,Private,0,Hayley,Scott
32704,202560,Never-married,Other-service,Not-in-family,0,10,Private,0,Angela,Aguilar
32705,171461,Never-married,?,Own-child,0,6,?,0,Jonathan,Davis
32706,213255,Widowed,?,Not-in-family,0,9,?,0,Rachael,Brown
32707,142682,Married-civ-spouse,Transport-moving,Husband,0,9,Private,0,Alex,King
32708,259109,Married-civ-spouse,Other-service,Wife,0,12,Private,0,Heather,Monroe
32709,175622,Married-civ-spouse,Tech-support,Husband,0,11,Private,0,Gina,Meyer
32710,174864,Married-civ-spouse,Craft-repair,Husband,1485,9,Private,0,Natalie,Jackson
32711,130779,Married-civ-spouse,Farming-fishing,Husband,0,11,Self-emp-not-inc,0,Kayla,Mullins
32712,161874,Never-married,Exec-managerial,Own-child,0,10,Private,0,William,Avila
32713,135304,Married-civ-spouse,Craft-repair,Husband,0,10,Private,0,Rachel,Kennedy
32714,246739,Married-civ-spouse,Craft-repair,Husband,0,10,Self-emp-inc,0,Kristen,Anderson
32715,204648,Never-married,Machine-op-inspct,Unmarried,0,11,Private,0,Melissa,Townsend
32716,195437,Married-civ-spouse,Adm-clerical,Husband,0,12,Federal-gov,0,Nancy,Stewart
32717,170449,Married-civ-spouse,Prof-specialty,Husband,0,14,Local-gov,0,Calvin,Brown
32718,109762,Divorced,Craft-repair,Unmarried,0,10,Private,0,David,Mata
32719,98588,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Nicole,Crawford
32720,204052,Never-married,Craft-repair,Not-in-family,0,9,Private,0,Stephen,Anderson
32721,316509,Never-married,Craft-repair,Not-in-family,0,9,Private,0,Richard,Beasley
32722,179048,Married-civ-spouse,Sales,Husband,0,9,Self-emp-not-inc,0,Jason,Randall
32723,193285,Never-married,Transport-moving,Not-in-family,0,9,Private,0,Melissa,Navarro
32724,216672,Never-married,,Own-child,0,10,,0,Roberto,Hernandez
32725,164488,Divorced,Craft-repair,Not-in-family,0,10,Private,0,Michelle,Wells
32726,54341,Married-civ-spouse,Handlers-cleaners,Husband,0,9,Private,0,Lauren,Hill
32727,172962,Married-civ-spouse,Sales,Husband,0,9,Private,0,Kyle,Grimes
32728,255386,Never-married,Craft-repair,Other-relative,0,9,Private,0,Crystal,Smith
32729,313945,Married-civ-spouse,Craft-repair,Husband,0,10,Private,0,James,Perez
32730,193895,Divorced,?,Unmarried,0,4,?,0,Christopher,Schmidt
32731,109462,Divorced,Adm-clerical,Unmarried,0,13,State-gov,2977,Rebecca,Williams
32732,52728,Married-civ-spouse,,Husband,0,13,,0,Derek,Mccall
32733,205338,Married-civ-spouse,Sales,Husband,0,13,Private,0,Debra,Griffin
32734,385092,Divorced,Prof-specialty,Own-child,0,,Private,0,Jared,Bass
32735,146722,Married-civ-spouse,,Husband,0,8,,0,Stephanie,Zimmerman
32736,177121,Married-civ-spouse,?,Husband,0,13,?,0,Julia,Lewis
32737,248094,Married-civ-spouse,Machine-op-inspct,Husband,0,9,Private,0,Jacob,Gutierrez
32738,53553,Married-civ-spouse,Transport-moving,Husband,0,9,Self-emp-not-inc,0,Brett,Silva
32739,291979,Never-married,Farming-fishing,Not-in-family,0,9,Private,0,Pamela,Garrison
32740,265356,Never-married,Sales,Other-relative,0,10,Private,0,David,Fletcher
32741,219288,Married-civ-spouse,Craft-repair,Husband,0,4,Private,0,Christopher,Cruz
32742,155818,Never-married,Adm-clerical,Own-child,0,13,Private,0,Keith,Bullock
32743,229394,Divorced,Exec-managerial,Unmarried,0,7,Self-emp-not-inc,0,Karen,Bauer
32744,222450,Married-spouse-absent,Other-service,Other-relative,0,7,Private,0,Donald,Gay
32745,352317,Never-married,Other-service,Own-child,0,10,State-gov,0,Taylor,Jones
32746,146520,Married-civ-spouse,Exec-managerial,Husband,0,14,Private,0,Gail,Blair
32747,62726,Divorced,Other-service,Not-in-family,0,10,State-gov,0,Aaron,Wright
32748,192360,Married-civ-spouse,Exec-managerial,Husband,1902,14,Private,0,Crystal,Stone
32749,77884,Never-married,Craft-repair,Not-in-family,0,11,Private,0,Noah,Escobar
32750,287701,Married-civ-spouse,Handlers-cleaners,Husband,0,7,Private,0,Miss,Jennifer
32751,188588,Never-married,Machine-op-inspct,Not-in-family,2001,3,Local-gov,0,Maria,Alvarez
32752,77937,Divorced,?,Not-in-family,0,,?,0,Ryan,Thornton
32753,632834,Never-married,Craft-repair,Own-child,0,9,Private,0,Dawn,Edwards
32754,137658,Married-civ-spouse,Machine-op-inspct,Husband,0,7,Private,0,Rebecca,Baldwin
32755,140849,Widowed,Other-service,Not-in-family,0,9,Private,0,Heidi,Rosales
32756,147452,Never-married,Sales,Own-child,0,6,Self-emp-not-inc,0,Dana,Gonzalez
32757,119266,Married-civ-spouse,Other-service,Husband,0,9,Private,0,Andrew,Dean
32758,61272,Never-married,Exec-managerial,Not-in-family,0,13,Private,0,Jeffrey,Bates
32759,318975,Divorced,Adm-clerical,Unmarried,0,9,Private,0,Victoria,Burnett
32760,306405,Married-civ-spouse,Tech-support,Wife,0,10,Private,0,Glen,Hanson
32761,237865,Never-married,?,Own-child,0,10,?,0,Adam,Powell
32762,22228,Married-civ-spouse,Other-service,Husband,0,9,Self-emp-not-inc,0,Alejandro,Soto
32763,170769,Married-civ-spouse,Adm-clerical,Husband,0,9,Private,0,Maria,Owen
32764,408813,Married-civ-spouse,Craft-repair,Wife,0,9,Federal-gov,0,Justin,Fleming
32765,193116,Married-civ-spouse,Exec-managerial,Husband,0,9,Federal-gov,0,James,Hart
32766,356882,Married-civ-spouse,Tech-support,Husband,0,9,Private,0,Troy,Lane
32767,33016,Never-married,Craft-repair,Not-in-family,0,9,Private,0,Tiffany,Morrison
32768,298342,Never-married,,Own-child,0,10,,0,Lisa,Conley
32769,293802,Married-civ-spouse,Handlers-cleaners,Husband,0,3,Private,0,Miguel,Ellison
32770,111797,Divorced,Adm-clerical,Not-in-family,0,11,Private,0,Leonard,Hamilton
32771,182414,Married-civ-spouse,Prof-specialty,Husband,0,16,Private,0,Joshua,Hayes
32772,200117,Divorced,Adm-clerical,Not-in-family,0,9,Private,0,Alan,Carey
32773,204461,Married-civ-spouse,Prof-specialty,Husband,0,13,Private,0,Gloria,Brown
32774,150568,Separated,Sales,Unmarried,0,9,Private,0,John,Dunlap
32775,113838,Widowed,Prof-specialty,Not-in-family,0,13,Private,4650,Ian,Bruce
32776,248384,Divorced,Other-service,Unmarried,0,9,Private,0,Lori,Mahoney
32777,252340,Never-married,Adm-clerical,Not-in-family,0,10,Private,0,Alicia,Bates
32778,233511,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Dawn,Flores
32779,88231,Never-married,Adm-clerical,Not-in-family,0,10,Private,0,Theresa,Nichols
32780,167990,Married-civ-spouse,Machine-op-inspct,Husband,0,5,Private,0,Lisa,Clayton
32781,61474,Married-civ-spouse,Sales,Husband,0,9,Self-emp-not-inc,0,Melissa,Callahan
32782,291998,Married-civ-spouse,Sales,Husband,0,10,Private,20051,Christopher,Bradley
32783,165138,Married-civ-spouse,Craft-repair,Husband,0,11,Private,0,Danny,Carr
32784,420973,Never-married,Adm-clerical,Own-child,0,10,Private,0,Diane,Hernandez
32785,142769,Married-civ-spouse,Craft-repair,Husband,0,10,Federal-gov,0,Daniel,Price
32786,169631,Never-married,Handlers-cleaners,Own-child,0,9,Private,0,Shawna,Castro
32787,272591,Never-married,Machine-op-inspct,Not-in-family,0,6,Private,0,Rachel,Rosales
32788,135500,Married-civ-spouse,Adm-clerical,Husband,0,9,Federal-gov,0,Regina,Kane
32789,149992,Married-civ-spouse,Farming-fishing,Husband,0,4,Private,0,Ashley,Willis
32790,191429,Married-civ-spouse,Sales,Husband,0,9,Private,15024,Larry,Stevens
32791,156025,Divorced,Exec-managerial,Unmarried,0,9,Private,0,Anthony,Willis
32792,307543,Never-married,Transport-moving,Own-child,0,6,Private,0,Melissa,Cook
32793,164733,Married-civ-spouse,Prof-specialty,Husband,0,14,Private,0,Jason,Moore
32794,75742,Married-civ-spouse,Prof-specialty,Husband,0,15,Self-emp-inc,0,Kathleen,Lopez
32795,119793,Married-civ-spouse,Craft-repair,Husband,0,13,Private,0,Lisa,Douglas
32796,80123,Married-civ-spouse,Protective-serv,Husband,0,,Local-gov,0,Brittany,Baker
32797,96176,Never-married,Adm-clerical,Own-child,0,10,Private,0,Jay,Quinn
32798,239862,Never-married,,Other-relative,0,10,,0,Sydney,Terry
32799,155913,Never-married,Other-service,Own-child,0,9,Private,0,Jesse,Chavez
32800,137076,Married-civ-spouse,Protective-serv,Husband,0,13,Private,0,Brett,Rice
32801,336326,Never-married,Craft-repair,Unmarried,0,7,Private,1151,Robert,Martinez
32802,88126,Never-married,?,Own-child,0,10,?,0,Kelly,Simpson
32803,223548,Never-married,Prof-specialty,Not-in-family,0,14,Local-gov,0,Angel,Taylor
32804,250782,Married-civ-spouse,Craft-repair,Husband,0,10,Private,0,Eugene,Rodriguez
32805,28572,Never-married,Handlers-cleaners,Own-child,0,9,Private,0,Justin,Hensley
32806,77146,Married-civ-spouse,Sales,Husband,0,13,Private,0,Amanda,Webster
32807,136314,Married-civ-spouse,Adm-clerical,Wife,0,10,Private,0,Scott,Freeman
32808,33975,Married-civ-spouse,Sales,Husband,0,10,Private,0,Alyssa,Lee
32809,163965,Never-married,Other-service,Unmarried,0,9,Local-gov,0,Troy,Jackson
32810,187053,Divorced,Transport-moving,Not-in-family,0,9,Private,0,Kevin,Arnold
32811,233312,Married-civ-spouse,Exec-managerial,Husband,0,13,Self-emp-not-inc,0,Chad,Wolfe
32812,111891,Separated,Sales,Other-relative,0,10,Private,0,Dwayne,Fox
32813,118768,Never-married,Craft-repair,Not-in-family,0,12,Private,0,Robin,Lee
32814,308296,Divorced,Other-service,Own-child,0,9,Self-emp-not-inc,0,Casey,Dodson
32815,174283,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Michelle,Hester
32816,179644,Married-civ-spouse,,Wife,0,11,,0,Tracey,George
32817,22154,Married-civ-spouse,Craft-repair,Husband,0,10,Private,0,Eric,Roberts
32818,243665,Married-civ-spouse,Sales,Husband,0,9,Self-emp-not-inc,0,Suzanne,Castaneda
32819,230095,Divorced,Exec-managerial,Unmarried,0,,State-gov,0,Jennifer,Mccormick
32820,253741,Married-civ-spouse,Sales,Husband,1825,9,Self-emp-inc,0,Joseph,Jacobson
32821,176716,Divorced,Prof-specialty,Not-in-family,0,14,Local-gov,0,Elizabeth,Brown
32822,101887,Widowed,Priv-house-serv,Not-in-family,0,6,Private,0,Chase,Williams
32823,238859,Never-married,Handlers-cleaners,Other-relative,0,9,Private,0,Amanda,Powell
32824,231263,Married-civ-spouse,Sales,Husband,0,9,Private,0,Adam,Kent
32825,144218,Married-civ-spouse,Transport-moving,Husband,0,8,Self-emp-not-inc,0,Annette,Robbins
32826,231491,Married-civ-spouse,Craft-repair,Husband,0,9,Private,0,Anthony,Horn
32827,155981,Widowed,Exec-managerial,Not-in-family,0,13,Self-emp-inc,0,Patrick,Peterson
32828,171461,Never-married,Sales,Own-child,0,6,Private,0,Katherine,King
32829,274200,Married-civ-spouse,Prof-specialty,Husband,0,10,Local-gov,0,Lauren,Long
32830,461929,Married-civ-spouse,Farming-fishing,Husband,0,4,Private,0,Larry,Barton
32831,113570,Married-civ-spouse,Protective-serv,Husband,0,12,Federal-gov,0,Cindy,Brown
32832,221672,Married-civ-spouse,Sales,Husband,0,14,Private,15024,Veronica,Adkins
32833,195447,Married-civ-spouse,Sales,Husband,0,13,Self-emp-inc,0,Mrs.,Kelly
32834,153132,Married-civ-spouse,Prof-specialty,Husband,0,13,Federal-gov,0,Jodi,Archer
32835,137815,Never-married,Other-service,Own-child,0,8,State-gov,4101,Kevin,Warner
32836,51415,Married-civ-spouse,Sales,Husband,0,10,Self-emp-inc,0,Marvin,Hill
32837,380357,Divorced,Exec-managerial,Not-in-family,0,,Private,0,Erin,Olsen
32838,80058,Never-married,Exec-managerial,Own-child,0,15,Private,0,Taylor,Scott
32839,389143,Never-married,Sales,Own-child,0,10,Private,0,Marie,Jackson
32840,138847,Married-civ-spouse,Machine-op-inspct,Husband,0,9,Private,0,Christopher,Duarte
32841,220585,Married-civ-spouse,Transport-moving,Husband,0,8,Private,0,Joyce,Allen
32842,140164,Never-married,Sales,Own-child,0,7,Private,0,Deborah,Adkins
32843,155489,Divorced,Prof-specialty,Not-in-family,0,10,Private,0,Carrie,Bowers
32844,181572,Never-married,Adm-clerical,Own-child,0,10,Private,0,David,Morton
32845,186849,Never-married,Transport-moving,Other-relative,0,9,Private,0,Emily,Montoya
32846,337195,Married-civ-spouse,Exec-managerial,Husband,0,12,Private,0,Lindsay,Graham
32847,213008,Married-civ-spouse,Exec-managerial,Husband,0,12,Self-emp-inc,0,Caroline,Fernandez
32848,123424,Married-civ-spouse,Exec-managerial,Husband,0,13,Self-emp-not-inc,0,Adrian,Acosta
32849,234508,Married-civ-spouse,Prof-specialty,Husband,0,13,Private,0,Javier,Kim
32850,228320,Married-civ-spouse,Tech-support,Husband,0,10,Private,0,Austin,Parrish
32851,47276,Married-civ-spouse,Other-service,Husband,0,13,Local-gov,0,Toni,Chen
32852,57101,Married-civ-spouse,Craft-repair,Husband,0,9,Self-emp-not-inc,0,Dustin,Bryant
32853,195891,Married-civ-spouse,Craft-repair,Own-child,0,9,Self-emp-not-inc,0,Stephen,Sharp
32854,192995,Widowed,Exec-managerial,Not-in-family,0,9,Private,0,Kristin,Smith
32855,139364,Married-civ-spouse,Prof-specialty,Husband,0,13,Local-gov,0,Donna,Mitchell
32856,176949,Married-civ-spouse,Exec-managerial,Husband,0,14,Local-gov,7688,Amy,Phillips
32857,424012,Divorced,Exec-managerial,Not-in-family,0,,Federal-gov,0,Jamie,Burton
32858,102771,Married-civ-spouse,Craft-repair,Husband,1887,9,Private,0,Ernest,Kemp
32859,309348,Never-married,Other-service,Not-in-family,0,10,Private,0,Stacey,Schmidt
32860,89015,Married-civ-spouse,?,Husband,0,9,?,0,Brandon,Wise
32861,255559,Married-civ-spouse,Adm-clerical,Wife,0,10,Private,0,Christine,Elliott
32862,295425,Married-civ-spouse,Exec-managerial,Husband,0,12,Private,0,Luis,Garcia
32863,164570,Never-married,Exec-managerial,Not-in-family,0,7,Self-emp-inc,0,Rachael,Romero
32864,47791,Divorced,Other-service,Not-in-family,0,8,Private,0,Tasha,Rogers
32865,376474,Married-civ-spouse,Machine-op-inspct,Husband,0,9,Private,0,Amy,Rasmussen
32866,116358,Married-civ-spouse,Exec-managerial,Husband,0,14,Private,0,Brooke,Green
32867,22831,Never-married,Other-service,Not-in-family,0,9,Private,0,William,Chavez
32868,136226,Never-married,Craft-repair,Own-child,0,9,Private,0,Kevin,Payne
32869,143208,Divorced,Other-service,Unmarried,0,4,Private,0,Michael,Beltran
32870,131568,Never-married,Machine-op-inspct,Not-in-family,0,5,Private,0,Cheryl,George
32871,175985,Divorced,Exec-managerial,Not-in-family,0,10,Private,0,Anna,Riley
