,age,fnlwgt,education,education-num,race,capital-gain,capital-loss,first_name,last_names
16312,69,89477,Some-college,10,White,0,0,Christine,Turner
16313,39,265685,Some-college,10,White,0,0,Steven,Wiggins
16314,40,175642,Bachelors,13,White,0,0,Clayton,Fletcher
16315,23,312017,Some-college,10,White,0,0,Patrick,Reeves
16316,41,315834,Bachelors,13,White,0,1876,Colleen,Lin
16317,58,129786,HS-grad,9,White,0,0,Amanda,Bennett
16318,45,175625,HS-grad,9,White,0,0,Patrick,Chan
16319,52,38973,Bachelors,13,Black,0,0,Kenneth,Jackson
16320,29,78261,HS-grad,9,White,0,0,Ashley,Rodriguez
16321,26,158734,Masters,14,White,0,0,Anthony,Moore
16322,50,283314,Assoc-acdm,12,White,0,1977,Christina,Pearson
16323,45,142167,Masters,14,Black,0,0,Sharon,Wade
16324,18,146225,10th,6,Amer-Indian-Eskimo,0,0,Rebecca,Lane
16325,30,185027,Bachelors,13,White,0,0,Michael,Washington
16326,32,100135,Some-college,10,White,0,0,Terry,Sullivan
16327,50,152810,Some-college,10,White,0,0,Ms.,Connie
16328,56,290641,Bachelors,13,White,0,0,Danielle,Logan
16329,57,223892,Bachelors,13,White,0,0,Corey,Deleon
16330,36,143774,HS-grad,9,White,0,0,Robert,Owens
16331,21,39236,Some-college,10,White,0,0,Allen,Hubbard
16332,40,91959,13,,White,0,0,Barbara,Bright
16333,21,170038,Some-college,10,White,0,0,David,Kane
16334,43,118308,Bachelors,13,White,0,1977,Timothy,Black
16335,31,226756,HS-grad,9,Black,0,0,Kimberly,Jenkins
16336,39,294919,HS-grad,9,White,0,0,Joshua,George
16337,37,187022,Bachelors,13,White,0,0,Kaitlyn,Savage
16338,37,68899,HS-grad,9,White,0,0,Jessica,Armstrong
16339,49,181717,Bachelors,13,White,0,0,Dr.,Timothy
16340,28,183523,Assoc-acdm,12,White,0,0,Geoffrey,Downs
16341,18,112974,11th,7,White,0,0,Ryan,Odom
16342,20,273989,HS-grad,9,White,0,0,Benjamin,Sanders
16343,41,156566,Some-college,10,White,0,0,Joseph,Downs
16344,34,159255,HS-grad,9,White,0,0,Jillian,Gates
16345,42,29320,Prof-school,15,White,0,0,Angelica,Diaz
16346,68,75913,12th,8,White,0,0,Stephanie,Woods
16347,42,165309,HS-grad,9,White,0,0,Wayne,Rodriguez
16348,28,124680,Bachelors,13,White,6849,0,Colleen,Yoder
16349,76,127016,,4,White,0,0,Dennis,Stein
16350,32,174201,HS-grad,9,White,0,0,Joshua,Key
16351,31,110554,HS-grad,9,White,4386,0,Jared,Cooper
16352,49,141483,10th,6,White,0,0,Summer,Walters
16353,58,117477,HS-grad,9,Black,0,0,Angela,Donaldson
16354,68,192656,Some-college,10,White,0,0,Stephanie,Horton
16355,26,133373,Some-college,10,White,0,0,Brandon,Armstrong
16356,47,115613,HS-grad,9,White,0,0,Patricia,Marsh
16357,55,477867,Bachelors,13,White,0,0,Timothy,Cortez
16358,26,31143,Some-college,10,White,0,0,William,Soto
16359,32,188245,11th,7,Black,0,0,Lindsay,Shields
16360,28,116372,Bachelors,13,White,0,0,Tamara,Young
16361,28,267912,HS-grad,9,White,0,0,Jessica,Gilmore
16362,40,105717,Masters,14,White,0,1876,Michael,Zamora
16363,18,298133,Some-college,10,White,0,0,Michelle,Lewis
16364,27,420054,HS-grad,9,White,9562,0,Spencer,Duncan
16365,57,125000,Some-college,10,White,0,0,Vanessa,Rodriguez
16366,20,408988,Some-college,10,White,594,0,Michael,Diaz
16367,39,319962,HS-grad,9,White,0,0,Keith,Aguirre
16368,32,218407,Some-college,10,White,0,0,Bradley,Owens
16369,42,92288,Masters,14,Asian-Pac-Islander,0,0,Corey,Greene
16370,40,247880,Bachelors,13,White,0,0,Erica,Jones
16371,56,340171,HS-grad,9,Black,0,0,Bridget,Thomas
16372,37,101561,Assoc-voc,11,White,0,0,Henry,Johns
16373,52,53497,Assoc-voc,11,White,0,0,Gary,Hardin
16374,35,165799,HS-grad,9,White,0,0,Scott,Bryant
16375,46,366089,,15,White,15024,0,Mark,Gillespie
16376,61,201965,HS-grad,9,White,0,0,Jordan,Sharp
16377,32,44392,Assoc-acdm,12,White,0,0,Claudia,Jensen
16378,47,47270,12th,8,Black,0,0,Thomas,Cortez
16379,21,186648,Some-college,10,White,0,0,Janet,Freeman
16380,28,99838,Bachelors,13,White,0,0,Cathy,Reed
16381,30,152940,Masters,14,White,0,0,Amy,Valdez
16382,23,289982,HS-grad,9,White,0,0,Bryan,Bailey
16383,19,185695,Some-college,10,White,0,0,Becky,Smith
16384,22,218215,Some-college,10,White,0,0,Vanessa,Landry
16385,30,149427,HS-grad,9,White,0,0,Julie,Brandt
16386,38,238397,Bachelors,13,White,0,0,Scott,Huffman
16387,49,259323,HS-grad,9,White,0,0,Kaitlyn,Copeland
16388,31,212529,Some-college,10,Black,0,0,Jeremy,Hubbard
16389,18,280298,HS-grad,9,White,0,0,Dr.,Lawrence
16390,39,198654,Prof-school,15,Asian-Pac-Islander,0,2415,Karen,Schmidt
16391,37,119929,HS-grad,9,White,0,0,Thomas,Watkins
16392,34,152109,HS-grad,9,White,0,0,Stacy,Jones
16393,45,188694,Prof-school,15,White,0,0,Dawn,Sandoval
16394,42,294431,Masters,14,White,0,0,Garrett,Mann
16395,37,256636,HS-grad,9,White,0,0,Zachary,Dunn
16396,28,192932,Bachelors,13,White,0,0,Jessica,Murray
16397,62,134779,Some-college,10,White,4650,0,Teresa,Lee
16398,49,115784,Some-college,10,White,0,0,Elizabeth,Turner
16399,56,50791,,14,White,0,1876,Ebony,Tyler
16400,24,382146,Some-college,10,Black,0,0,Patrick,Berry
16401,60,135158,Some-college,10,White,15024,0,David,Turner
16402,32,211239,Some-college,10,White,0,0,Casey,Nguyen
16403,74,292915,Bachelors,13,White,0,1825,Elizabeth,Mcintosh
16404,23,277328,Some-college,10,White,0,0,Mrs.,Kristen
16405,44,146659,Masters,14,White,0,1887,Victor,Rivas
16406,24,234460,9th,5,Black,0,0,Kayla,Hudson
16407,68,116903,Assoc-voc,11,White,0,2149,Deborah,Castillo
16408,45,204205,Some-college,10,White,0,0,Shirley,Nelson
16409,43,35523,Assoc-acdm,12,White,0,0,Cindy,Brooks
16410,56,144380,Some-college,10,Black,0,0,Steven,Medina
16411,27,140863,HS-grad,9,White,0,0,Sarah,Turner
16412,38,175232,9,,White,0,0,Nicole,Watts
16413,49,203039,11th,7,White,0,0,Rebecca,Guzman
16414,30,113433,Some-college,10,Black,0,0,Andrew,Velazquez
16415,59,146477,Prof-school,15,White,0,0,Christian,Blair
16416,50,293196,HS-grad,9,White,7298,0,Kathy,Price
16417,44,322799,HS-grad,9,Black,0,0,Terri,Perry
16418,29,251170,HS-grad,9,White,0,0,Brittany,White
16419,62,244087,Doctorate,16,White,15024,0,Corey,Espinoza
16420,39,219137,Assoc-acdm,12,White,0,0,Aaron,Reeves
16421,34,221167,Assoc-acdm,12,White,0,0,Michael,Holt
16422,38,222450,,3,White,0,0,Alexander,Hensley
16423,42,169980,Some-college,10,Black,0,0,Anthony,White
16424,46,158656,Assoc-acdm,12,White,0,0,Jill,Hardy
16425,38,187847,HS-grad,9,White,0,0,Carol,Morris
16426,22,185357,Some-college,10,White,0,0,Daniel,Turner
16427,41,70884,HS-grad,9,White,0,0,Garrett,Jackson
16428,37,32668,Bachelors,13,White,0,0,Sabrina,Silva
16429,52,192563,Some-college,10,White,0,0,Bryan,Hutchinson
16430,49,168232,HS-grad,9,White,0,0,Natalie,Avila
16431,29,472344,5th-6th,3,White,0,0,Nicole,Stephens
16432,35,210830,HS-grad,9,White,0,0,Kimberly,Crane
16433,48,138370,Masters,14,Asian-Pac-Islander,0,0,Ronald,Kaiser
16434,26,410240,11th,7,White,0,0,Christina,Harmon
16435,46,188386,HS-grad,9,White,0,0,Patrick,Cervantes
16436,40,325159,Some-college,10,White,0,0,Jessica,Davidson
16437,24,180060,Masters,14,White,6849,0,Mr.,Peter
16438,48,72425,Bachelors,13,White,0,0,John,Cole
16439,45,206947,HS-grad,9,White,0,0,John,Wall
16440,29,217290,Some-college,10,White,0,0,Diane,Mcpherson
16441,31,323020,Some-college,10,White,0,0,Catherine,Clark
16442,27,55743,Bachelors,13,Black,0,0,Kevin,Mcbride
16443,41,112763,HS-grad,9,White,2597,0,Carol,Gross
16444,32,127651,9,,White,0,0,Brent,Roberts
16445,77,177550,Bachelors,13,White,3818,0,Heather,Hurley
16446,19,125010,HS-grad,9,White,0,0,Ronald,Hendricks
16447,25,245369,HS-grad,9,White,0,0,Tim,Thompson
16448,23,124971,Some-college,10,White,0,0,Amanda,Parker
16449,34,85355,Bachelors,13,White,0,0,Deborah,Wise
16450,18,28357,HS-grad,9,White,0,0,Cassandra,Mendez
16451,25,150083,Bachelors,13,White,0,0,Joseph,Allen
16452,50,343242,Some-college,10,White,0,0,Kerry,Wright
16453,22,153805,HS-grad,9,Other,0,0,Timothy,Dean
16454,36,185692,7th-8th,4,White,0,0,Christian,Reynolds
16455,46,175262,Assoc-acdm,12,Asian-Pac-Islander,0,0,Bryan,Walker
16456,23,302195,,13,White,0,0,Jessica,Leblanc
16457,37,184655,HS-grad,9,White,0,0,Ryan,Keller
16458,28,224629,Masters,14,Other,0,0,Steven,Chapman
16459,36,226947,Bachelors,13,White,0,0,Krista,Escobar
16460,36,232142,Some-college,10,White,0,0,Scott,Flores
16461,49,197418,HS-grad,9,White,0,0,Chad,Dawson
16462,53,110510,HS-grad,9,White,0,0,Martin,Moody
16463,40,145178,Some-college,10,Black,0,0,Heather,Cohen
16464,58,212864,HS-grad,9,White,3908,0,Heather,Stevens
16465,43,157473,HS-grad,9,White,0,0,Mrs.,Patricia
16466,33,327112,Masters,14,White,0,0,Andrea,Holmes
16467,24,52242,HS-grad,9,White,0,0,Russell,Ford
16468,28,692831,Bachelors,13,Black,0,0,James,Fowler
16469,29,76978,Some-college,10,Black,0,0,Ian,Flores
16470,49,80914,5th-6th,3,White,0,0,Joseph,Russell
16471,58,266792,Some-college,10,White,99999,0,Ashley,Malone
16472,21,74538,Some-college,10,White,0,0,Isaac,Collier
16473,23,280164,HS-grad,9,Black,0,0,Jenna,Campbell
16474,24,217226,Some-college,10,White,0,0,Brandon,Vance
16475,51,43705,Masters,14,White,0,0,Jennifer,Nolan
16476,22,170800,Assoc-voc,11,White,0,0,Ann,Perez
16477,59,212448,HS-grad,9,White,0,0,Kristen,Roberts
16478,20,432154,HS-grad,9,White,0,0,James,Huber
16479,17,147411,5th-6th,3,White,0,0,Selena,Mcintyre
16480,48,112860,10th,6,Black,0,0,Diana,Figueroa
16481,35,104858,Masters,14,White,0,0,Dana,Sanchez
16482,25,125863,Bachelors,13,White,0,0,Alyssa,Collins
16483,38,101192,Some-college,10,White,0,0,Julie,Mcdowell
16484,23,358355,5th-6th,3,White,0,0,Brandon,Novak
16485,57,175017,5th-6th,3,White,0,0,David,Ortiz
16486,55,127677,Some-college,10,White,0,0,Danielle,Payne
16487,65,131417,5th-6th,3,White,1797,0,Joseph,Wolf
16488,90,84553,HS-grad,9,White,0,0,Sean,Curtis
16489,24,395297,Some-college,10,White,0,0,Robert,Pearson
16490,26,248776,Some-college,10,White,0,0,Angelica,Alvarado
16491,33,334744,Some-college,10,White,0,0,Nicholas,Nelson
16492,44,230684,HS-grad,9,White,0,0,Tyler,Larson
16493,46,105327,HS-grad,9,White,0,0,Edwin,Howell
16494,39,336880,HS-grad,9,White,0,0,Jared,Reid
16495,29,380560,9th,5,White,0,0,Hannah,Nguyen
16496,32,197867,Assoc-voc,11,White,0,0,Jeff,Holder
16497,24,105479,Masters,14,White,0,0,Brenda,Wu
16498,23,141427,13,,Black,0,0,Donna,Carrillo
16499,35,28572,11th,7,White,0,0,Noah,Daniels
16500,22,164901,11th,7,White,0,0,Sara,Morrison
16501,35,214816,HS-grad,9,White,0,0,Melanie,Lawson
16502,25,193701,Bachelors,13,White,0,0,Tyrone,Miller
16503,25,213383,,10,White,0,0,Bobby,Perkins
16504,64,268965,HS-grad,9,White,0,0,Mr.,William
16505,40,153372,Some-college,10,White,0,0,Kari,Miller
16506,33,54318,HS-grad,9,White,0,0,Alexander,Jordan
16507,64,232787,Bachelors,13,White,0,0,Eric,Cook
16508,66,22313,11th,7,White,0,0,Justin,Wright
16509,31,119411,HS-grad,9,White,0,0,Christian,Castro
16510,29,146014,HS-grad,9,White,0,0,Derek,Taylor
16511,37,166497,Bachelors,13,White,0,0,Charles,Kim
16512,90,82628,HS-grad,9,White,2964,0,Robin,Brown
16513,22,310152,Some-college,10,White,3325,0,Amy,Caldwell
16514,39,208778,HS-grad,9,White,0,0,Adam,Donaldson
16515,57,105582,13,,White,0,2415,Donald,Tyler
16516,28,197905,Some-college,10,White,0,0,Amy,Coleman
16517,31,57151,Some-college,10,White,0,0,Elizabeth,Osborn
16518,20,61777,Some-college,10,White,0,0,John,Kennedy
16519,30,163604,Bachelors,13,White,0,0,Diana,Foster
16520,36,359131,,10,White,0,0,Mikayla,Mercado
16521,30,61989,Some-college,10,White,0,0,Maria,Barnett
16522,34,90705,,10,White,0,1485,Felicia,Munoz
16523,56,359972,Some-college,10,White,0,0,Jackson,Chase
16524,38,75024,7th-8th,4,White,0,0,Cory,Cook
16525,25,344991,Some-college,10,White,0,0,Mathew,Krause
16526,18,334026,11th,7,White,0,0,Jessica,Chung
16527,19,53220,HS-grad,9,Black,0,0,Robert,Brewer
16528,67,134906,HS-grad,9,White,0,0,Julie,Yates
16529,26,213081,HS-grad,9,Black,0,0,Angel,Butler
16530,41,230020,5th-6th,3,Other,0,0,Colton,Wilson
16531,20,117222,HS-grad,9,White,0,0,Faith,Huffman
16532,71,235079,,1,Black,0,0,Jose,Waters
16533,42,117583,Doctorate,16,White,8614,0,Ann,Garrett
16534,28,144521,HS-grad,9,Black,0,0,Angela,Francis
16535,38,339025,HS-grad,9,Asian-Pac-Islander,0,1579,Melanie,Bean
16536,30,187279,HS-grad,9,White,0,0,Rhonda,Hayes
16537,35,159179,Some-college,10,White,0,0,David,Gonzales
16538,51,133336,HS-grad,9,White,0,0,Carlos,Lopez
16539,18,200525,11th,7,White,0,0,Kim,Simon
16540,17,156501,12th,8,White,0,0,Erika,Ayala
16541,39,173175,Bachelors,13,White,15024,0,Brenda,Henderson
16542,47,228583,Some-college,10,White,0,0,Brent,Holloway
16543,19,115248,Some-college,10,Asian-Pac-Islander,0,0,Mr.,Eric
16544,52,180949,Some-college,10,White,0,0,Veronica,Bailey
16545,44,177851,Prof-school,15,White,0,0,Natasha,Padilla
16546,53,231196,HS-grad,9,White,0,0,Kyle,Sweeney
16547,49,109705,Some-college,10,White,0,0,Pamela,Henry
16548,45,54260,Some-college,10,White,0,0,Gregory,Davenport
16549,30,103642,11th,7,White,0,0,Natalie,Richards
16550,53,150393,HS-grad,9,White,0,1504,Caitlin,Martin
16551,41,180572,Bachelors,13,White,0,0,Kelly,Winters
16552,33,164190,Assoc-voc,11,White,7298,0,Kaitlyn,Mullen
16553,53,174102,7th-8th,4,White,4386,0,Marcia,Butler
16554,39,65738,Some-college,10,White,0,0,Willie,Evans
16555,51,42901,Masters,14,White,0,0,Denise,Cain
16556,31,262848,HS-grad,9,White,0,0,Heather,Stevenson
16557,47,167787,HS-grad,9,White,0,0,Pamela,Allen
16558,59,115414,Some-college,10,White,0,0,Sheila,Barnes
16559,73,198526,HS-grad,9,White,0,0,Amy,Cooper
16560,53,46155,HS-grad,9,White,0,0,Travis,Lewis
16561,33,93034,Assoc-voc,11,Asian-Pac-Islander,0,0,Leslie,Cook
16562,25,192321,Bachelors,13,White,0,0,Patrick,Sexton
16563,38,203836,HS-grad,9,White,3464,0,Caitlin,Mills
16564,39,114942,Some-college,10,White,0,0,Donald,Leach
16565,37,174503,Bachelors,13,White,0,0,Brandon,Reilly
16566,44,210527,Some-college,10,Black,0,0,Terri,Donovan
16567,20,37932,Some-college,10,White,0,0,Ann,Kennedy
16568,49,181657,Some-college,10,White,0,0,Taylor,Patterson
16569,25,248990,10th,6,White,0,0,Justin,Wilcox
16570,30,173854,HS-grad,9,White,0,0,Ryan,Scott
16571,28,258594,Bachelors,13,White,0,0,Martin,Ross
16572,64,50171,HS-grad,9,White,0,0,Krystal,Allen
16573,56,124137,HS-grad,9,White,0,0,Miss,Nicole
16574,33,422960,Some-college,10,White,0,0,Sarah,Cunningham
16575,20,79691,HS-grad,9,White,0,0,Jennifer,Schroeder
16576,58,99131,HS-grad,9,White,7298,0,Todd,King
16577,25,197036,Some-college,10,White,0,0,Karen,Ortiz
16578,61,222966,,5,Black,0,0,Gabrielle,Houston
16579,66,298834,Assoc-voc,11,White,0,0,Zachary,Reilly
16580,22,247734,HS-grad,9,White,0,0,Alex,Bartlett
16581,58,118253,HS-grad,9,White,0,0,Cynthia,Mcgee
16582,37,191779,Some-college,10,White,0,0,Henry,Rojas
16583,37,348739,Prof-school,15,White,0,0,Joseph,Gonzalez
16584,42,250536,Some-college,10,Black,0,0,Krystal,Harvey
16585,37,82283,5th-6th,3,Asian-Pac-Islander,0,0,Alyssa,Hopkins
16586,52,61735,11th,7,White,0,0,Thomas,Murillo
16587,38,172571,Some-college,10,White,0,0,Albert,Torres
16588,23,246965,Some-college,10,Black,0,0,Theresa,Sexton
16589,41,106501,Assoc-acdm,12,White,7688,0,Patricia,Miller
16590,62,270092,Masters,14,White,0,0,Katherine,Tucker
16591,24,172169,Some-college,10,White,0,0,Belinda,Thompson
16592,27,216479,Bachelors,13,White,0,0,Karen,Roberts
16593,34,205256,HS-grad,9,White,2885,0,Cathy,Bennett
16594,19,144161,HS-grad,9,White,0,0,David,Baker
16595,45,175990,HS-grad,9,White,0,0,Julie,Hall
16596,44,207685,Masters,14,White,8614,0,Mark,Bailey
16597,38,170783,Assoc-voc,11,White,0,0,Katherine,Webster
16598,20,334113,Some-college,10,White,0,0,Richard,Jordan
16599,33,232356,HS-grad,9,White,0,1672,Jimmy,Oliver
16600,19,60367,HS-grad,9,White,0,0,Peggy,Chan
16601,36,64875,Assoc-voc,11,White,0,0,Monique,Wilkins
16602,24,275421,Assoc-voc,11,White,0,0,Peter,Beasley
16603,47,154940,,14,White,0,0,Karen,White
16604,20,82777,Some-college,10,White,0,0,Margaret,Noble
16605,20,432376,Some-college,10,White,0,0,Dylan,Cooley
16606,46,34377,Assoc-acdm,12,White,0,0,Juan,Gilbert
16607,24,67586,Assoc-voc,11,Black,0,0,Jerome,Smith
16608,17,375657,11th,7,White,0,0,Lee,Paul
16609,30,112358,Some-college,10,White,0,0,Kelly,Jones
16610,44,185602,Assoc-voc,11,White,0,0,Nicholas,Knapp
16611,28,45613,,10,White,0,0,Nichole,Shaw
16612,46,117502,HS-grad,9,White,0,0,Allison,White
16613,49,173503,12th,8,White,0,0,Kelly,Zimmerman
16614,47,123681,Masters,14,White,7688,0,Ruben,Garcia
16615,37,118681,,9,White,0,0,Ann,Wolfe
16616,19,472807,1st-4th,2,White,0,0,Shawn,Knight
16617,22,162667,HS-grad,9,White,0,0,Traci,Mitchell
16618,25,168358,HS-grad,9,White,0,0,Kenneth,Villegas
16619,45,28119,HS-grad,9,White,0,0,Deborah,Wheeler
16620,34,25322,Bachelors,13,Asian-Pac-Islander,0,2339,Chelsea,Calderon
16621,50,191013,HS-grad,9,Amer-Indian-Eskimo,0,0,Kelly,Riggs
16622,44,102238,HS-grad,9,White,0,0,Stephen,Myers
16623,33,183125,HS-grad,9,White,0,0,Carol,Gibson
16624,36,272090,Bachelors,13,White,0,0,Damon,Nelson
16625,35,147258,Some-college,10,White,0,1974,Charles,Wallace
16626,79,183686,,13,White,0,0,Anthony,Smith
16627,18,201299,Some-college,10,White,0,0,Heather,Todd
16628,48,135525,Assoc-acdm,12,White,0,0,Dr.,Debra
16629,42,146659,Doctorate,16,White,0,1902,David,Collins
16630,49,249585,11th,7,White,0,0,Lisa,Blair
16631,18,101795,10th,6,White,0,0,Henry,Hayden
16632,24,369667,Some-college,10,White,0,0,Bradley,Green
16633,40,163985,9,,White,0,0,Jessica,Lee
16634,22,117210,Some-college,10,White,0,0,Stephanie,Burns
16635,30,144064,HS-grad,9,White,0,0,Frank,Martinez
16636,52,174452,Some-college,10,White,0,0,James,Shepard
16637,54,21698,Bachelors,13,White,0,0,Derek,Coleman
16638,52,92968,Bachelors,13,White,0,0,Diane,Ward
16639,35,354520,HS-grad,9,White,0,0,Timothy,Jensen
16640,30,198660,HS-grad,9,White,0,0,Dana,Deleon
16641,20,56322,Some-college,10,White,0,0,Brandon,Lawrence
16642,18,153302,HS-grad,9,White,0,0,Don,Duffy
16643,58,31732,Some-college,10,White,0,0,Savannah,Burton
16644,36,196348,HS-grad,9,White,0,0,Karen,Carter
16645,46,171228,HS-grad,9,White,3411,0,Larry,Vasquez
16646,36,240323,Some-college,10,Black,0,0,Jessica,Mcdowell
16647,46,182689,Some-college,10,White,0,0,Joseph,Barrett
16648,21,303187,Some-college,10,Asian-Pac-Islander,0,0,Kathleen,Morgan
16649,32,191856,Masters,14,White,0,0,Kevin,Bowers
16650,33,321709,Assoc-acdm,12,White,0,0,James,Carrillo
16651,45,182100,Bachelors,13,White,0,0,Marissa,Newton
16652,35,110402,11th,7,White,0,0,Sara,Barr
16653,18,51574,HS-grad,9,Asian-Pac-Islander,0,1602,Terry,Reed
16654,67,142097,9th,5,White,0,0,Cathy,Lee
16655,39,136531,HS-grad,9,White,0,0,Martha,Williams
16656,54,180522,HS-grad,9,White,0,0,Kristina,York
16657,46,149551,HS-grad,9,White,5013,0,Jacqueline,Adams
16658,66,29431,,9,White,0,0,Mark,Walton
16659,56,187355,Some-college,10,White,0,0,Kathryn,Parsons
16660,29,108431,Assoc-voc,11,Black,0,2415,Ariana,Freeman
16661,47,93557,HS-grad,9,White,0,0,James,Petersen
16662,24,38455,Some-college,10,White,0,0,Paul,Spencer
16663,19,443809,HS-grad,9,White,0,0,Kristin,Carter
16664,28,212563,Some-college,10,Black,0,0,Steven,Ramirez
16665,38,236391,HS-grad,9,White,0,0,Aaron,Moreno
16666,32,134886,HS-grad,9,White,0,0,Brandon,Grant
16667,51,186338,HS-grad,9,White,0,0,Jessica,Grant
16668,44,215304,Bachelors,13,White,0,0,Jeffrey,Owens
16669,38,111128,Assoc-acdm,12,White,0,0,Brittany,Flynn
16670,31,30290,HS-grad,9,White,0,0,Abigail,White
16671,24,161198,Bachelors,13,White,0,0,Christopher,West
16672,24,134181,Masters,14,White,0,0,Richard,Hill
16673,44,245333,Assoc-voc,11,Black,0,0,Leslie,Gregory
16674,20,41356,Assoc-acdm,12,White,0,0,Gabriela,Tucker
16675,38,103925,HS-grad,9,White,0,0,Michelle,Harper
16676,43,160369,HS-grad,9,White,0,0,Jesus,Fry
16677,44,175935,Doctorate,16,White,0,0,Connor,Ward
16678,43,115562,Bachelors,13,White,0,0,Elizabeth,Price
16679,22,189950,Bachelors,13,White,0,0,Cody,Everett
16680,23,200973,HS-grad,9,White,0,0,Sean,Swanson
16681,40,217826,HS-grad,9,Black,0,0,Donald,Davidson
16682,39,278403,HS-grad,9,White,0,0,Stacey,Garner
16683,34,100145,Some-college,10,White,0,0,Anthony,Wilson
16684,20,258517,Some-college,10,White,0,0,Mary,Deleon
16685,43,410867,Doctorate,16,White,0,0,Melissa,Baker
16686,47,114770,HS-grad,9,White,0,0,Patrick,Patrick
16687,26,112847,HS-grad,9,White,0,0,Ryan,Sanders
16688,34,260560,Bachelors,13,White,0,0,Madeline,Dominguez
16689,40,145441,HS-grad,9,White,0,1485,Shawn,Meyer
16690,33,69311,HS-grad,9,White,0,0,Robert,Glover
16691,22,450920,Assoc-acdm,12,Black,0,0,Mr.,Andrew
16692,29,97189,Assoc-voc,11,White,0,0,Megan,Willis
16693,26,182332,Assoc-voc,11,White,0,0,Karl,Willis
16694,39,255503,Bachelors,13,White,0,0,Matthew,Nichols
16695,23,223811,Bachelors,13,White,0,0,Daniel,Henderson
16696,47,160647,HS-grad,9,White,0,0,Frank,Lowe
16697,31,63437,HS-grad,9,White,0,0,Tiffany,Perez
16698,60,313852,Masters,14,White,0,0,Amber,Cross
16699,50,251585,Bachelors,13,White,0,0,Harry,Jackson
16700,34,181091,Some-college,10,White,0,0,Jenna,Rice
16701,42,109912,Some-college,10,White,0,0,Kimberly,Hill
16702,49,227800,7th-8th,4,White,0,0,Andrew,Cooper
16703,32,227669,Some-college,10,Black,0,0,John,Moreno
16704,20,256504,Some-college,10,White,0,0,Melissa,Gordon
16705,35,282951,,13,White,0,0,Monica,Cooper
16706,37,347189,HS-grad,9,White,0,0,Douglas,Kidd
16707,71,422149,Some-college,10,White,20051,0,Tanner,Richardson
16708,23,314823,Some-college,10,White,0,0,Richard,Taylor
16709,24,176389,Bachelors,13,White,0,0,Craig,Flores
16710,18,89760,12th,8,White,0,0,Sara,Grant
16711,26,59306,Bachelors,13,White,0,0,Danielle,Perez
16712,68,107910,HS-grad,9,White,0,0,Charles,Golden
16713,55,97197,Some-college,10,White,0,0,Kevin,Nguyen
16714,24,233419,HS-grad,9,White,0,0,Desiree,Jackson
16715,49,148995,HS-grad,9,White,0,0,Adam,Ochoa
16716,31,91964,Bachelors,13,White,0,0,Seth,Lopez
16717,25,120596,Bachelors,13,White,0,0,Douglas,Hamilton
16718,35,195253,Some-college,10,White,0,0,Gregory,Roach
16719,18,157131,11th,7,White,0,0,Sandra,Alexander
16720,41,194636,Bachelors,13,White,0,0,Melanie,Aguirre
16721,32,63564,HS-grad,9,Black,0,0,Joe,Preston
16722,41,155106,HS-grad,9,White,0,0,Felicia,Davidson
16723,28,214385,Assoc-voc,11,Black,0,0,Linda,Gordon
16724,68,217424,HS-grad,9,White,0,0,Jessica,Wolf
