,age,education,race,sex,hours-per-week,native-country,salary,first_name,last_names
32651,26,Bachelors,White,Male,35,United-States,<=50K,Diana,Conley
32652,49,Bachelors,White,Male,43,United-States,>50K.,Rhonda,Cline
32653,41,10th,White,Male,48,United-States,<=50K,Ms.,Laura
32654,32,10th,White,Female,25,United-States,<=50K.,Jonathan,Baker
32655,44,HS-grad,White,Female,40,United-States,<=50K,Thomas,Estes
32656,38,Bachelors,White,Male,40,United-States,<=50K,Reginald,Ford
32657,35,9th,White,Female,40,United-States,<=50K,Bridget,Andersen
32658,27,Assoc-acdm,White,Male,55,United-States,<=50K,Susan,Wood
32659,36,HS-grad,White,Male,70,United-States,<=50K,Alec,Palmer
32660,27,HS-grad,White,Male,75,United-States,<=50K,Howard,Diaz
32661,34,Some-college,Black,Male,35,United-States,<=50K.,Mr.,Larry
32662,23,Some-college,White,Male,40,United-States,<=50K.,Monica,James
32663,24,13,White,Female,40,United-States,<=50K,Rhonda,Whitaker
32664,53,Masters,White,Male,55,United-States,>50K,Joann,Jones
32665,55,Masters,White,Female,50,United-States,<=50K,Julie,Gallagher
32666,45,Some-college,White,Male,40,United-States,<=50K.,Dennis,Kent
32667,26,Assoc-acdm,White,Male,50,United-States,<=50K.,Brittany,Stephenson
32668,22,Assoc-voc,White,Male,30,United-States,<=50K,Bryan,Richard
32669,58,Prof-school,White,Male,70,United-States,>50K.,Donald,King
32670,47,HS-grad,White,Male,44,United-States,<=50K,Brenda,Phillips
32671,57,Some-college,White,Male,40,United-States,<=50K,Paul,Bishop
32672,64,7th-8th,White,Male,20,United-States,<=50K,Meredith,Huerta
32673,44,Some-college,White,Female,40,United-States,<=50K,Jill,Perkins
32674,38,Bachelors,White,Female,40,United-States,<=50K.,Dr.,Dorothy
32675,27,HS-grad,Black,Female,37,United-States,<=50K,Jennifer,Bradley
32676,30,Bachelors,Asian-Pac-Islander,Female,60,Philippines,>50K.,Jennifer,Dickerson
32677,17,10th,Black,Male,20,United-States,<=50K,Katie,Edwards
32678,20,HS-grad,White,Male,45,United-States,<=50K,Joseph,Nash
32679,33,Bachelors,White,Female,40,United-States,<=50K.,Katie,Massey
32680,37,10th,White,Male,40,United-States,<=50K.,Sherry,Clark
32681,65,HS-grad,White,Female,8,United-States,<=50K.,Barbara,White
32682,45,Prof-school,White,Male,50,United-States,>50K,Joseph,Beck
32683,34,Some-college,White,Male,38,United-States,<=50K,Zachary,Salazar
32684,27,HS-grad,Black,Female,40,United-States,<=50K,David,Smith
32685,57,HS-grad,Asian-Pac-Islander,Male,20,United-States,<=50K,Alexa,Walls
32686,45,HS-grad,White,Male,40,United-States,>50K,Matthew,Hayes
32687,47,Assoc-acdm,White,Male,40,United-States,<=50K,Erica,Lee
32688,36,Bachelors,Asian-Pac-Islander,Male,40,,<=50K.,Susan,Keller
32689,30,HS-grad,Asian-Pac-Islander,Male,40,,<=50K.,Kathleen,Alvarado
32690,25,11th,White,Male,40,Poland,>50K,Beth,Olson
32691,36,HS-grad,White,Male,38,United-States,<=50K.,David,Moss
32692,33,Bachelors,White,Female,40,United-States,<=50K,Melody,Jones
32693,19,HS-grad,White,Male,40,United-States,<=50K.,Christine,Burns
32694,30,HS-grad,White,Female,40,United-States,<=50K.,Kyle,Martinez
32695,38,HS-grad,White,Female,40,United-States,<=50K,Jesse,Vasquez
32696,34,Some-college,White,Male,15,United-States,<=50K.,Gregory,Cruz
32697,33,11th,White,Male,40,United-States,<=50K.,Anthony,Hughes
32698,23,Bachelors,White,Male,38,United-States,<=50K,Joseph,Dunn
32699,39,Some-college,White,Female,40,United-States,<=50K,Samuel,Ramos
32700,36,Bachelors,White,Male,40,United-States,>50K.,Laura,Jefferson
32701,26,HS-grad,White,Male,52,United-States,<=50K,Jenna,Rodriguez
32702,57,HS-grad,White,Male,40,United-States,>50K.,Janet,Parker
32703,28,HS-grad,White,Male,40,United-States,<=50K,Hayley,Scott
32704,25,Some-college,White,Female,40,United-States,<=50K,Angela,Aguilar
32705,17,10th,White,Female,20,United-States,<=50K,Jonathan,Davis
32706,72,HS-grad,White,Female,8,United-States,<=50K,Rachael,Brown
32707,43,HS-grad,White,Male,30,Dominican-Republic,<=50K,Alex,King
32708,23,Assoc-acdm,White,Female,40,Puerto-Rico,<=50K,Heather,Monroe
32709,46,Assoc-voc,White,Male,40,United-States,<=50K.,Gina,Meyer
32710,59,HS-grad,White,Male,45,United-States,>50K,Natalie,Jackson
32711,46,Assoc-voc,White,Male,48,United-States,>50K.,Kayla,Mullins
32712,23,Some-college,Black,Male,40,United-States,<=50K,William,Avila
32713,34,Some-college,White,Male,45,United-States,<=50K.,Rachel,Kennedy
32714,49,Some-college,White,Male,45,United-States,>50K,Kristen,Anderson
32715,27,Assoc-voc,Black,Female,40,United-States,<=50K,Melissa,Townsend
32716,49,Assoc-acdm,White,Male,60,United-States,>50K,Nancy,Stewart
32717,30,Masters,Asian-Pac-Islander,Male,40,United-States,>50K.,Calvin,Brown
32718,40,Some-college,White,Male,40,United-States,<=50K,David,Mata
32719,52,HS-grad,White,Male,40,United-States,<=50K,Nicole,Crawford
32720,34,HS-grad,White,Male,40,United-States,<=50K,Stephen,Anderson
32721,22,HS-grad,White,Male,50,United-States,<=50K,Richard,Beasley
32722,49,HS-grad,White,Male,60,Greece,<=50K,Jason,Randall
32723,31,HS-grad,White,Male,40,United-States,<=50K.,Melissa,Navarro
32724,20,Some-college,White,Male,30,United-States,<=50K.,Roberto,Hernandez
32725,25,Some-college,White,Male,40,United-States,<=50K.,Michelle,Wells
32726,31,,White,Male,45,United-States,<=50K.,Lauren,Hill
32727,54,HS-grad,White,Male,40,United-States,<=50K,Kyle,Grimes
32728,65,HS-grad,Asian-Pac-Islander,Male,40,Cambodia,<=50K,Crystal,Smith
32729,40,Some-college,White,Male,40,United-States,<=50K.,James,Perez
32730,55,7th-8th,White,Female,40,United-States,<=50K,Christopher,Schmidt
32731,42,Bachelors,Black,Female,40,United-States,<=50K,Rebecca,Williams
32732,66,Bachelors,White,Male,10,United-States,<=50K.,Derek,Mccall
32733,39,Bachelors,White,Male,60,United-States,<=50K.,Debra,Griffin
32734,29,10,White,Female,36,United-States,<=50K,Jared,Bass
32735,65,12th,White,Male,10,United-States,<=50K.,Stephanie,Zimmerman
32736,72,Bachelors,White,Male,3,United-States,<=50K,Julia,Lewis
32737,43,HS-grad,White,Male,44,United-States,>50K.,Jacob,Gutierrez
32738,37,HS-grad,White,Male,75,United-States,<=50K.,Brett,Silva
32739,24,HS-grad,White,Male,40,United-States,<=50K,Pamela,Garrison
32740,21,Some-college,White,Male,40,United-States,<=50K,David,Fletcher
32741,44,7th-8th,White,Male,35,United-States,<=50K,Christopher,Cruz
32742,23,Bachelors,White,Female,40,United-States,<=50K.,Keith,Bullock
32743,47,11th,White,Female,55,United-States,<=50K,Karen,Bauer
32744,37,11th,White,Male,40,El-Salvador,<=50K,Donald,Gay
32745,18,Some-college,White,Female,20,United-States,<=50K.,Taylor,Jones
32746,40,Masters,White,Male,40,United-States,>50K,Gail,Blair
32747,45,Some-college,White,Female,40,United-States,<=50K.,Aaron,Wright
32748,45,Masters,White,Male,50,United-States,>50K.,Crystal,Stone
32749,59,Assoc-voc,Asian-Pac-Islander,Male,40,United-States,<=50K,Noah,Escobar
32750,38,11th,White,Male,48,United-States,>50K,Miss,Jennifer
32751,54,5th-6th,White,Male,35,United-States,<=50K.,Maria,Alvarez
32752,41,8,White,Female,40,Canada,<=50K,Ryan,Thornton
32753,25,HS-grad,Black,Male,40,United-States,<=50K,Dawn,Edwards
32754,52,11th,Other,Male,40,Dominican-Republic,<=50K,Rebecca,Baldwin
32755,67,HS-grad,White,Female,24,United-States,<=50K,Heidi,Rosales
32756,27,10th,White,Female,48,United-States,<=50K.,Dana,Gonzalez
32757,41,HS-grad,White,Male,40,United-States,<=50K,Andrew,Dean
32758,34,Bachelors,White,Female,40,United-States,<=50K,Jeffrey,Bates
32759,52,HS-grad,White,Female,40,Cuba,<=50K,Victoria,Burnett
32760,41,Some-college,White,Female,40,United-States,<=50K,Glen,Hanson
32761,25,,Black,Male,40,?,<=50K,Adam,Powell
32762,63,HS-grad,White,Male,40,United-States,>50K.,Alejandro,Soto
32763,34,HS-grad,White,Male,50,United-States,>50K,Maria,Owen
32764,34,HS-grad,White,Female,40,United-States,>50K.,Justin,Fleming
32765,50,HS-grad,White,Male,40,United-States,>50K.,James,Hart
32766,34,HS-grad,White,Male,40,United-States,<=50K.,Troy,Lane
32767,23,HS-grad,White,Male,40,United-States,<=50K.,Tiffany,Morrison
32768,21,Some-college,White,Male,40,United-States,<=50K.,Lisa,Conley
32769,51,5th-6th,Black,Male,52,United-States,<=50K,Miguel,Ellison
32770,61,Assoc-voc,Black,Female,32,United-States,<=50K.,Leonard,Hamilton
32771,46,Doctorate,White,Male,55,United-States,>50K.,Joshua,Hayes
32772,31,HS-grad,White,Male,40,United-States,<=50K,Alan,Carey
32773,34,Bachelors,White,Male,55,United-States,>50K,Gloria,Brown
32774,42,HS-grad,White,Female,45,United-States,<=50K,John,Dunlap
32775,59,Bachelors,White,Female,37,United-States,<=50K.,Ian,Bruce
32776,30,HS-grad,White,Female,40,United-States,<=50K,Lori,Mahoney
32777,33,Some-college,White,Female,40,United-States,<=50K.,Alicia,Bates
32778,48,HS-grad,White,Male,40,United-States,>50K.,Dawn,Flores
32779,20,Some-college,White,Female,40,United-States,<=50K,Theresa,Nichols
32780,35,9th,White,Male,40,Canada,<=50K,Lisa,Clayton
32781,58,HS-grad,White,Male,55,United-States,>50K,Melissa,Callahan
32782,70,Some-college,White,Male,65,United-States,>50K.,Christopher,Bradley
32783,46,Assoc-voc,White,Male,40,United-States,<=50K,Danny,Carr
32784,20,Some-college,White,Female,20,United-States,<=50K.,Diane,Hernandez
32785,60,Some-college,White,Male,40,United-States,>50K.,Daniel,Price
32786,27,HS-grad,White,Female,40,United-States,<=50K,Shawna,Castro
32787,22,10th,White,Male,30,United-States,<=50K.,Rachel,Rosales
32788,39,HS-grad,White,Male,40,United-States,>50K.,Regina,Kane
32789,72,7th-8th,White,Male,35,United-States,<=50K.,Ashley,Willis
32790,42,HS-grad,White,Male,60,United-States,>50K.,Larry,Stevens
32791,30,HS-grad,White,Female,40,United-States,<=50K,Anthony,Willis
32792,31,10th,White,Male,99,Cuba,<=50K.,Melissa,Cook
32793,46,Masters,White,Male,41,United-States,<=50K,Jason,Moore
32794,41,Prof-school,White,Male,45,El-Salvador,>50K,Kathleen,Lopez
32795,27,Bachelors,White,Male,40,United-States,<=50K,Lisa,Douglas
32796,51,10,White,Male,35,United-States,<=50K.,Brittany,Baker
32797,19,Some-college,White,Female,20,United-States,<=50K,Jay,Quinn
32798,19,Some-college,White,Male,40,United-States,<=50K.,Sydney,Terry
32799,22,HS-grad,White,Male,18,United-States,<=50K.,Jesse,Chavez
32800,31,Bachelors,White,Male,40,United-States,<=50K.,Brett,Rice
32801,38,11th,White,Male,40,United-States,<=50K.,Robert,Martinez
32802,22,Some-college,White,Male,40,United-States,<=50K,Kelly,Simpson
32803,42,Masters,White,Male,40,United-States,<=50K.,Angel,Taylor
32804,33,Some-college,White,Male,40,United-States,<=50K.,Eugene,Rodriguez
32805,39,HS-grad,White,Male,48,United-States,<=50K,Justin,Hensley
32806,35,Bachelors,White,Male,45,United-States,>50K,Amanda,Webster
32807,62,Some-college,White,Female,40,United-States,<=50K,Scott,Freeman
32808,39,Some-college,White,Male,40,United-States,>50K,Alyssa,Lee
32809,20,HS-grad,Black,Female,40,United-States,<=50K,Troy,Jackson
32810,35,HS-grad,White,Female,60,United-States,>50K,Kevin,Arnold
32811,56,Bachelors,White,Male,20,Poland,<=50K.,Chad,Wolfe
32812,44,Some-college,Black,Female,35,United-States,<=50K,Dwayne,Fox
32813,41,Assoc-acdm,White,Male,48,United-States,<=50K.,Robin,Lee
32814,40,HS-grad,White,Female,40,United-States,<=50K.,Casey,Dodson
32815,44,HS-grad,White,Male,40,United-States,>50K,Michelle,Hester
32816,57,Assoc-voc,White,Female,5,United-States,<=50K.,Tracey,George
32817,53,Some-college,White,Male,40,United-States,<=50K,Eric,Roberts
32818,30,HS-grad,White,Male,50,United-States,<=50K,Suzanne,Castaneda
32819,51,9,White,Female,38,United-States,<=50K.,Jennifer,Mccormick
32820,66,HS-grad,White,Male,10,United-States,>50K,Joseph,Jacobson
32821,42,Masters,White,Male,40,United-States,<=50K,Elizabeth,Brown
32822,75,10th,White,Female,70,United-States,<=50K,Chase,Williams
32823,28,HS-grad,White,Male,20,United-States,<=50K.,Amanda,Powell
32824,30,HS-grad,White,Male,40,United-States,<=50K,Adam,Kent
32825,43,12th,White,Male,60,United-States,<=50K,Annette,Robbins
32826,37,HS-grad,White,Male,35,United-States,<=50K,Anthony,Horn
32827,85,Bachelors,White,Male,40,United-States,>50K.,Patrick,Peterson
32828,17,10th,White,Female,14,United-States,<=50K.,Katherine,King
32829,46,,White,Male,40,United-States,>50K.,Lauren,Long
32830,28,7th-8th,White,Male,40,Mexico,<=50K,Larry,Barton
32831,64,Assoc-acdm,Black,Male,40,United-States,<=50K.,Cindy,Brown
32832,51,Masters,White,Male,50,United-States,>50K,Veronica,Adkins
32833,32,,White,Male,45,United-States,<=50K,Mrs.,Kelly
32834,41,Bachelors,White,Male,38,United-States,>50K,Jodi,Archer
32835,54,12th,White,Male,40,United-States,<=50K,Kevin,Warner
32836,67,Some-college,White,Male,40,United-States,<=50K.,Marvin,Hill
32837,59,13,White,Male,40,United-States,<=50K,Erin,Olsen
32838,34,,White,Male,50,United-States,<=50K,Taylor,Scott
32839,19,Some-college,White,Male,40,United-States,<=50K,Marie,Jackson
32840,54,HS-grad,White,Male,45,United-States,>50K,Christopher,Duarte
32841,35,12th,White,Male,40,United-States,<=50K,Joyce,Allen
32842,18,11th,White,Female,40,United-States,<=50K,Deborah,Adkins
32843,48,Some-college,White,Male,40,United-States,>50K.,Carrie,Bowers
32844,19,Some-college,White,Male,40,United-States,<=50K,David,Morton
32845,20,HS-grad,White,Male,40,United-States,<=50K,Emily,Montoya
32846,53,Assoc-acdm,White,Male,45,United-States,>50K.,Lindsay,Graham
32847,36,Assoc-acdm,White,Male,40,United-States,>50K,Caroline,Fernandez
32848,33,Bachelors,White,Male,40,United-States,>50K,Adrian,Acosta
32849,42,Bachelors,White,Male,40,United-States,>50K.,Javier,Kim
32850,42,Some-college,White,Male,50,United-States,>50K,Austin,Parrish
32851,31,Bachelors,White,Male,38,United-States,>50K,Toni,Chen
32852,54,HS-grad,White,Male,35,United-States,<=50K,Dustin,Bryant
32853,31,HS-grad,White,Male,40,United-States,<=50K.,Stephen,Sharp
32854,67,HS-grad,White,Female,35,United-States,<=50K.,Kristin,Smith
32855,39,Bachelors,White,Male,35,United-States,>50K,Donna,Mitchell
32856,37,Masters,White,Male,55,United-States,>50K.,Amy,Phillips
32857,52,10,White,Female,40,United-States,<=50K,Jamie,Burton
32858,45,HS-grad,White,Male,40,United-States,>50K,Ernest,Kemp
32859,21,,White,Female,18,United-States,<=50K.,Stacey,Schmidt
32860,81,HS-grad,White,Male,18,United-States,<=50K,Brandon,Wise
32861,49,Some-college,White,Female,40,United-States,>50K,Christine,Elliott
32862,69,Assoc-acdm,White,Male,24,United-States,<=50K.,Luis,Garcia
32863,75,11th,White,Male,50,United-States,<=50K,Rachael,Romero
32864,20,12th,White,Female,10,United-States,<=50K,Tasha,Rogers
32865,24,HS-grad,White,Male,40,United-States,<=50K.,Amy,Rasmussen
32866,36,Masters,Asian-Pac-Islander,Male,40,Taiwan,>50K,Brooke,Green
32867,42,HS-grad,White,Female,40,United-States,<=50K,William,Chavez
32868,26,HS-grad,White,Male,40,United-States,<=50K,Kevin,Payne
32869,42,7th-8th,White,Female,40,,<=50K.,Michael,Beltran
32870,31,9th,White,Male,40,United-States,<=50K,Cheryl,George
32871,31,Some-college,White,Female,50,United-States,<=50K.,Anna,Riley
32872,21,Some-college,White,Male,32,United-States,<=50K,Veronica,Gonzales
32873,23,Some-college,White,Male,40,United-States,<=50K,Angela,Lloyd
32874,33,HS-grad,White,Male,40,United-States,>50K.,Kathryn,Dean
32875,35,Prof-school,White,Male,50,United-States,>50K,Lisa,Humphrey
32876,39,Some-college,Black,Male,40,United-States,<=50K,Luis,Harmon
32877,43,Some-college,White,Male,84,United-States,<=50K,Justin,Allen
32878,20,10,White,Female,20,United-States,<=50K.,Cynthia,Wagner
32879,36,HS-grad,Black,Male,48,United-States,<=50K.,Sergio,Armstrong
32880,53,Masters,White,Female,50,United-States,>50K,Felicia,Taylor
32881,20,HS-grad,White,Male,40,United-States,<=50K.,Bradley,Hughes
32882,39,Some-college,White,Female,35,United-States,<=50K,Frank,Baldwin
32883,61,HS-grad,Asian-Pac-Islander,Male,63,South,<=50K,Stacy,Taylor
32884,79,HS-grad,White,Male,7,United-States,<=50K.,Brandy,Zuniga
32885,46,7th-8th,White,Male,45,United-States,<=50K,Darren,Hill
32886,31,,White,Female,50,Mexico,<=50K,Mary,Crawford
32887,38,HS-grad,White,Female,48,United-States,<=50K,Cole,Hill
32888,47,Some-college,White,Male,40,United-States,<=50K.,Christie,Jenkins
32889,47,Bachelors,White,Male,60,United-States,<=50K,Brianna,Coleman
32890,34,HS-grad,White,Male,50,United-States,<=50K,Yvette,Morgan
32891,43,7th-8th,Black,Male,40,United-States,<=50K,Ann,Wright
32892,30,Masters,White,Female,30,United-States,<=50K.,Alexandra,Murphy
32893,25,Some-college,Other,Female,40,United-States,<=50K,Crystal,Brown
32894,36,11th,White,Male,40,United-States,<=50K,Kevin,Booth
32895,51,Bachelors,White,Male,40,United-States,<=50K.,Alyssa,Kim
32896,32,HS-grad,White,Male,50,United-States,<=50K,Timothy,Mccall
32897,23,Some-college,White,Female,25,United-States,<=50K.,Mr.,Jason
32898,43,Bachelors,White,Male,40,United-States,>50K,Mary,Galloway
32899,30,Some-college,White,Male,40,United-States,<=50K,Carlos,Crane
32900,30,HS-grad,White,Male,40,?,<=50K,Amber,Ortiz
32901,39,,White,Male,50,United-States,>50K,Nancy,Sandoval
32902,61,HS-grad,White,Male,30,United-States,>50K.,Rachel,Swanson
32903,24,Some-college,White,Female,30,United-States,<=50K,Matthew,Morton
32904,76,Prof-school,White,Male,20,United-States,<=50K,Ashley,Williams
32905,51,HS-grad,White,Male,40,United-States,<=50K.,Tammie,Good
32906,50,HS-grad,White,Male,48,United-States,<=50K,Gabrielle,Ortiz
32907,34,Some-college,White,Male,40,United-States,<=50K,Ashley,Dunn
32908,33,9,Amer-Indian-Eskimo,Male,40,United-States,<=50K.,Judith,Moore
32909,45,Some-college,White,Male,40,United-States,<=50K.,Erik,Terry
32910,40,11th,White,Male,40,United-States,<=50K,Janet,Spencer
32911,20,HS-grad,Black,Male,45,United-States,<=50K,Kyle,Byrd
32912,50,Bachelors,White,Male,40,United-States,>50K,Sarah,Garza
32913,22,10th,White,Female,40,United-States,<=50K,Allen,Martinez
32914,50,7th-8th,White,Male,40,United-States,<=50K,Christopher,Waters
32915,30,Assoc-voc,White,Female,40,United-States,<=50K.,Bryan,Hall
32916,22,HS-grad,White,Female,40,United-States,<=50K,Diana,Hernandez
32917,45,HS-grad,White,Male,50,United-States,>50K,Leah,Cunningham
32918,36,Some-college,White,Male,45,United-States,<=50K,Joshua,Ramos
32919,33,HS-grad,Amer-Indian-Eskimo,Female,72,United-States,<=50K.,Jennifer,Poole
32920,31,11,White,Male,40,United-States,<=50K,Thomas,Kaufman
32921,32,Some-college,White,Female,40,United-States,<=50K,Kimberly,Thornton
32922,46,Some-college,White,Male,50,United-States,<=50K,Austin,Russell
32923,33,Some-college,Black,Female,40,United-States,>50K,Kathy,Morrison
32924,60,Bachelors,White,Male,25,United-States,<=50K.,Andre,Moody
32925,49,,Other,Male,50,United-States,>50K,Mr.,Timothy
32926,56,Assoc-acdm,White,Female,40,United-States,<=50K,Darren,Lopez
32927,49,HS-grad,White,Male,40,United-States,<=50K,Norman,Gonzalez
32928,61,HS-grad,White,Male,40,Germany,<=50K.,Mrs.,Sarah
32929,49,Bachelors,White,Male,40,United-States,<=50K.,Peter,Jones
32930,50,HS-grad,Black,Female,44,United-States,<=50K,Wanda,Jones
32931,33,10th,White,Male,40,United-States,<=50K.,Walter,Solis
32932,51,9th,White,Male,45,United-States,<=50K.,Dr.,Gabriel
32933,29,,White,Female,40,United-States,<=50K,Charles,Brown
32934,62,HS-grad,White,Male,40,United-States,<=50K,Steven,Rubio
32935,22,HS-grad,White,Female,30,United-States,<=50K,Jeanne,Lane
32936,55,HS-grad,White,Female,40,United-States,<=50K,Michael,Buckley
32937,35,Bachelors,White,Male,60,United-States,<=50K,Alisha,Mccall
32938,57,Bachelors,White,Female,40,United-States,>50K,Joshua,Tran
32939,23,9,White,Female,40,United-States,<=50K.,Christopher,Chase
32940,24,Bachelors,White,Female,40,United-States,>50K,Scott,Rogers
32941,24,HS-grad,Black,Male,60,United-States,<=50K.,Thomas,Hanson
32942,35,HS-grad,White,Male,45,United-States,>50K.,Jordan,Henry
32943,76,Some-college,White,Female,40,United-States,<=50K,Timothy,Ochoa
32944,70,Some-college,White,Male,4,United-States,>50K,Miss,Valerie
32945,32,Bachelors,White,Female,50,United-States,<=50K,Kevin,Thompson
