,hours-per-week,occupation,capital-gain,relationship,education-num,sex,workclass,capital-loss,first_name,last_names
90,40,Adm-clerical,0,Husband,9,Male,Federal-gov,0,James,Perry
91,40,Machine-op-inspct,0,Husband,4,Male,Private,0,Noah,Harris
92,40,Sales,0,Husband,13,Male,Private,0,Jocelyn,Jackson
93,35,Transport-moving,0,Husband,9,Male,Self-emp-not-inc,0,Timothy,Lawson
94,40,Sales,0,Husband,10,Male,Private,0,Jonathon,Brown
95,35,?,0,Not-in-family,10,Female,?,0,Joshua,Aguilar
96,55,Sales,0,Husband,13,Male,Private,0,Larry,Taylor
97,48,Craft-repair,0,Husband,10,Male,Private,0,Mrs.,Vanessa
98,15,Prof-specialty,0,Not-in-family,14,Female,Private,0,Tara,Callahan
99,40,Adm-clerical,0,Husband,12,Male,Federal-gov,0,Danielle,Lawrence
100,40,Protective-serv,0,Husband,9,Male,Private,0,John,Cantu
101,40,Craft-repair,0,Husband,9,Male,Private,0,Angela,Snyder
102,40,Exec-managerial,15024,Husband,11,Male,Private,0,Valerie,Walsh
103,50,Prof-specialty,0,Husband,14,Male,Local-gov,0,Shelby,Moore
104,40,Sales,0,Own-child,13,Male,Private,0,Jeremy,Herrera
105,35,Adm-clerical,0,Not-in-family,9,Female,Private,0,Regina,Jackson
106,40,Exec-managerial,7298,Husband,9,Male,Local-gov,0,Jeffrey,Berger
107,40,Handlers-cleaners,0,Husband,9,Male,Private,0,Paul,Dunn
108,18,Exec-managerial,0,Husband,5,Male,Private,0,Ethan,Young
109,45,Handlers-cleaners,0,Own-child,11,Male,Private,0,Beverly,Miller
110,40,Tech-support,0,Husband,9,Male,Private,0,Rebecca,Hansen
111,40,Adm-clerical,0,Unmarried,11,Female,Private,0,Daniel,Stephens
112,45,Craft-repair,0,Not-in-family,12,Male,Private,0,Stephen,Gay
113,35,Craft-repair,0,Wife,14,Female,Private,0,Lindsey,Gutierrez
114,68,Adm-clerical,0,Not-in-family,9,Female,Private,0,Cathy,Coleman
115,40,Adm-clerical,0,Not-in-family,10,Female,State-gov,0,Kevin,Lane
116,40,Prof-specialty,0,Own-child,13,Female,Private,0,Amanda,Rice
117,35,?,0,Own-child,7,Female,?,0,Jacob,Spears
118,48,Craft-repair,0,Unmarried,10,Female,Private,0,Louis,Oconnor
119,60,Sales,0,Not-in-family,10,Male,Self-emp-inc,0,Jodi,Fuller
120,45,Exec-managerial,0,Unmarried,13,Female,Private,0,Ms.,Amanda
121,40,Craft-repair,0,Husband,9,Male,Local-gov,0,Sharon,Reed
122,48,Exec-managerial,0,Husband,13,Male,State-gov,0,Gary,Compton
123,60,Prof-specialty,0,Wife,13,Female,Local-gov,0,Audrey,Mason
124,40,Prof-specialty,0,Husband,16,Male,State-gov,0,Katie,Arnold
125,60,Exec-managerial,0,Husband,9,Male,Private,0,Phillip,Robles
126,40,Transport-moving,0,Husband,9,Male,Private,0,Erin,Wilkinson
127,40,Tech-support,0,Not-in-family,10,Female,Private,0,Jill,Hughes
128,20,,0,Own-child,10,Female,,0,Sarah,Henry
129,40,Adm-clerical,0,Not-in-family,13,Female,Federal-gov,0,Yvonne,Davis
130,30,Prof-specialty,0,Own-child,10,Male,Self-emp-not-inc,0,Mr.,Anthony
131,40,Machine-op-inspct,0,Own-child,9,Male,Private,0,Oscar,Mcintyre
132,45,Exec-managerial,15024,Husband,11,Male,Private,0,William,Johns
133,95,Exec-managerial,0,Husband,10,Male,Self-emp-not-inc,0,Richard,Oneal
134,50,Adm-clerical,0,Husband,10,Male,Private,0,Glenn,Johnson
135,40,Adm-clerical,0,Other-relative,9,Female,Private,0,Deborah,Mercer
136,40,Adm-clerical,0,Not-in-family,9,Female,Private,0,Adriana,Smith
137,40,Machine-op-inspct,0,Husband,4,Male,Private,0,Samuel,Stevens
138,40,Craft-repair,0,Not-in-family,6,Male,Private,0,Erica,Rice
139,30,Prof-specialty,0,Not-in-family,16,Male,Self-emp-not-inc,0,David,Glover
140,40,Adm-clerical,0,Unmarried,9,Female,Private,0,Johnathan,Meyer
141,40,Exec-managerial,0,Unmarried,11,Female,Private,0,Nathan,Blair
142,50,Exec-managerial,0,Husband,13,Male,Self-emp-not-inc,0,Jeffrey,Hickman
143,40,Prof-specialty,0,Husband,10,Male,Private,0,Rebekah,Perez
144,40,Transport-moving,0,Not-in-family,3,Male,Private,0,Kristi,Edwards
145,40,Machine-op-inspct,0,Not-in-family,6,Female,Private,0,Connie,Benitez
146,55,Sales,0,Husband,13,Male,Private,0,Amy,Cummings
147,55,Adm-clerical,0,Husband,10,Male,Private,0,Susan,Hernandez
148,40,Adm-clerical,0,Husband,8,Male,Private,0,Thomas,Adams
149,40,Farming-fishing,0,Husband,5,Male,Private,0,Emily,Bauer
150,45,Sales,0,Other-relative,10,Female,Private,0,Jon,Francis
151,25,Adm-clerical,0,Not-in-family,12,Female,Private,0,Amy,Gutierrez
152,60,?,0,Own-child,9,Female,?,0,Michele,Fernandez
153,40,Handlers-cleaners,0,Own-child,9,Male,Private,0,Alicia,Baxter
154,40,?,0,Own-child,10,Male,?,0,Diana,Gregory
155,10,Farming-fishing,0,Own-child,10,Male,Self-emp-not-inc,2258,David,Clayton
156,42,Sales,0,Not-in-family,9,Female,Private,0,Daniel,Davidson
157,30,Prof-specialty,0,Not-in-family,13,Male,Private,0,Jeffrey,Baker
158,24,,0,Husband,4,Male,,2149,Paul,Singh
159,40,Exec-managerial,0,Husband,9,Male,Private,0,Stephen,Richardson
160,40,Prof-specialty,0,Not-in-family,13,Female,Private,0,Christopher,Jones
161,40,Machine-op-inspct,0,Unmarried,4,Female,Private,3900,Derek,Adams
162,25,,0,Not-in-family,10,Male,,0,Lisa,Campbell
163,40,Protective-serv,0,Husband,9,Male,Private,0,Randy,Cooper
164,40,Craft-repair,7688,Husband,10,Male,Private,0,Richard,Watson
165,40,Sales,0,Own-child,7,Male,Private,0,Casey,Gonzalez
166,60,Adm-clerical,0,Not-in-family,11,Female,Private,0,Seth,Phillips
167,40,Adm-clerical,0,Own-child,9,Female,Private,0,Matthew,Cooley
168,40,Machine-op-inspct,0,Wife,9,Female,Private,0,Douglas,Villa
169,40,Prof-specialty,0,Husband,11,Male,Private,0,Patricia,Roberts
170,36,Prof-specialty,0,Not-in-family,13,Female,Private,0,Michael,Joyce
171,40,Sales,0,Own-child,9,Female,Private,0,Dr.,Lindsay
172,40,Tech-support,0,Unmarried,9,Female,Private,0,Nathaniel,Waller
173,70,Farming-fishing,0,Not-in-family,9,Male,Self-emp-not-inc,0,Carolyn,Owen
174,30,Adm-clerical,0,Own-child,9,Male,Private,0,Becky,Alexander
175,40,Craft-repair,0,Not-in-family,13,Male,State-gov,0,Tanya,Jones
176,40,Exec-managerial,0,Not-in-family,14,Male,Private,0,Michelle,Cuevas
177,40,Transport-moving,0,Own-child,9,Female,Private,0,Nicole,Mendez
178,35,Exec-managerial,0,Husband,10,Male,Self-emp-not-inc,0,Dawn,Yang
179,40,?,0,Husband,9,Male,?,0,Renee,Clark
180,40,Sales,0,Husband,9,Male,Self-emp-not-inc,0,Christine,Walton
181,40,Exec-managerial,0,Husband,15,Male,Private,0,Sierra,Brown
182,50,Sales,0,Not-in-family,9,Male,Private,0,Scott,Reid
183,55,Exec-managerial,0,Unmarried,10,Male,Private,0,Hannah,Martin
184,40,Adm-clerical,0,Own-child,8,Female,Private,0,Kathleen,Mccoy
185,45,Handlers-cleaners,0,Own-child,9,Male,Private,0,Ashley,Perez
186,40,Machine-op-inspct,0,Husband,2,Male,Private,0,Thomas,Shepard
187,60,Exec-managerial,0,Not-in-family,14,Female,Private,0,Kevin,Leblanc
188,45,Farming-fishing,0,Husband,9,Male,Private,0,Susan,Bryan
189,55,Exec-managerial,0,Husband,13,Male,Private,0,Daniel,Taylor
190,40,Exec-managerial,0,Not-in-family,13,Female,State-gov,0,Kristina,Gibbs
191,40,Exec-managerial,0,Not-in-family,12,Male,Private,0,Tonya,Jones
192,45,Prof-specialty,0,Not-in-family,13,Female,Self-emp-not-inc,1340,David,Villanueva
193,50,Craft-repair,0,Not-in-family,13,Male,Private,0,Jane,Abbott
194,40,Exec-managerial,0,Other-relative,13,Female,Private,0,Devon,Hill
195,16,Prof-specialty,0,Unmarried,15,Female,Private,0,Michael,Page
196,40,Other-service,0,Not-in-family,9,Female,Private,0,Jose,Oliver
197,40,Prof-specialty,0,Not-in-family,13,Male,Local-gov,0,Dustin,Larsen
198,40,Tech-support,0,Unmarried,10,Female,Private,213,James,Mejia
199,30,Other-service,0,Not-in-family,10,Female,Local-gov,0,William,Simmons
200,50,Exec-managerial,0,Husband,13,Male,Self-emp-inc,0,Anthony,Dillon
201,50,Craft-repair,0,Husband,9,Male,Private,0,Dale,Gonzalez
202,35,Exec-managerial,4064,Wife,13,Female,Private,0,Rhonda,Cruz
203,40,Machine-op-inspct,0,Not-in-family,7,Male,Private,0,Lori,Hampton
204,40,Craft-repair,0,Husband,10,Male,Private,0,Jeremy,Lopez
205,40,Machine-op-inspct,0,Not-in-family,9,Female,Private,0,Mr.,Charles
206,15,Sales,0,Own-child,6,Male,Self-emp-inc,0,Michael,Cline
207,40,Other-service,0,Not-in-family,9,Female,Private,0,Julie,Villa
208,15,Handlers-cleaners,0,Own-child,9,Male,Private,0,Tami,Stevens
209,50,Craft-repair,0,Husband,11,Male,Private,0,Michael,Christian
210,46,Craft-repair,0,Not-in-family,10,Male,Private,0,Caleb,Dominguez
211,44,Craft-repair,0,Husband,9,Male,Private,1485,Rachael,Snyder
212,40,Craft-repair,0,Husband,9,Male,Private,0,Robin,Warren
213,30,Farming-fishing,0,Not-in-family,9,Male,Self-emp-not-inc,1974,Charles,Murphy
214,40,Prof-specialty,0,Not-in-family,14,Female,Local-gov,0,Johnny,Hill
215,33,Handlers-cleaners,0,Not-in-family,4,Female,Private,0,Mary,Mejia
216,10,Other-service,0,Other-relative,9,Female,Private,0,Christopher,Rodriguez
217,50,Craft-repair,0,Husband,5,Male,Self-emp-not-inc,0,Gregory,Peterson
218,35,Other-service,0,Own-child,13,Female,Private,0,Jason,Dalton
219,30,Sales,0,Husband,9,Male,Self-emp-not-inc,0,Joanna,Morris
220,40,Craft-repair,0,Unmarried,6,Female,Private,0,Mrs.,Sarah
221,40,Craft-repair,0,Husband,9,Male,State-gov,1485,Ann,Murray
222,60,Farming-fishing,0,Husband,11,Male,Self-emp-not-inc,0,Kimberly,Richards
223,35,Other-service,0,Own-child,9,Female,Private,0,Dustin,Glover
224,50,Tech-support,0,Own-child,9,Male,Private,0,Megan,Green
225,40,Prof-specialty,0,Wife,13,Female,Private,0,Laura,Mitchell
226,48,Exec-managerial,0,Husband,10,Male,Self-emp-inc,1977,John,French
227,45,Sales,0,Husband,13,Male,Private,0,Amanda,Clark
228,40,Adm-clerical,0,Not-in-family,9,Male,Private,0,Laura,Vega
229,40,Tech-support,0,Husband,9,Male,Private,0,Brenda,York
230,40,Exec-managerial,8614,Unmarried,13,Male,Private,0,Jill,Kelley
231,40,Exec-managerial,0,Husband,14,Male,Local-gov,0,Jennifer,Obrien
232,40,Adm-clerical,0,Unmarried,10,Female,Private,0,Renee,Stephens
233,20,Prof-specialty,0,Wife,14,Female,Local-gov,1977,Alexandra,Ortiz
234,45,Tech-support,0,Not-in-family,13,Female,Private,0,Alexander,Owens
235,40,Adm-clerical,7688,Wife,13,Female,Local-gov,0,Tiffany,Young
236,40,Priv-house-serv,0,Other-relative,6,Female,Private,0,Kristina,Hopkins
237,32,Adm-clerical,0,Not-in-family,9,Female,Private,0,Julia,Chavez
238,8,?,0,Not-in-family,11,Female,?,0,Joseph,Koch
239,16,Adm-clerical,0,Wife,9,Female,Self-emp-not-inc,0,Jill,Nichols
240,10,Prof-specialty,0,Husband,14,Male,Local-gov,0,Connor,James
241,40,Prof-specialty,0,Own-child,13,Male,Federal-gov,2258,Jessica,Vincent
242,40,Other-service,3411,Husband,9,Male,Self-emp-not-inc,0,Jean,Owen
243,40,Adm-clerical,0,Own-child,10,Male,Local-gov,0,Teresa,Barry
244,7,Sales,0,Not-in-family,9,Female,Private,0,Sue,Moon
245,45,Other-service,0,Husband,9,Male,Local-gov,2002,Dustin,Hebert
246,70,Farming-fishing,0,Husband,6,Male,Self-emp-not-inc,1887,Curtis,Freeman
247,40,?,0,Other-relative,9,Female,?,0,Destiny,Phillips
248,20,Adm-clerical,0,Own-child,9,Male,Local-gov,0,Bridget,Obrien
249,30,Other-service,0,Own-child,10,Male,Private,0,Leah,Lawson
250,5,?,0,Not-in-family,4,Male,?,0,Brett,Ford
251,84,Prof-specialty,0,Husband,9,Male,Private,0,Elizabeth,Swanson
252,35,Craft-repair,0,Husband,9,Male,Private,0,Alexis,Mccarthy
253,20,?,0,Own-child,10,Male,?,0,Derek,Thomas
254,40,Craft-repair,0,Husband,5,Male,Self-emp-not-inc,0,Austin,Lucas
255,42,Craft-repair,0,Unmarried,10,Male,Private,0,Joy,Hayes
256,40,Sales,0,Husband,10,Male,Private,0,William,Bowman
257,60,Prof-specialty,0,Not-in-family,13,Male,Federal-gov,0,Stephanie,Richardson
258,50,Other-service,0,Husband,9,Male,Private,0,Jared,Sexton
259,40,Adm-clerical,0,Husband,9,Male,Private,0,Tyler,Welch
260,15,Adm-clerical,0,Own-child,10,Male,State-gov,0,Jennifer,Hurley
261,40,Sales,0,Not-in-family,11,Male,Private,0,Veronica,Silva
262,42,Craft-repair,0,Husband,9,Male,Self-emp-not-inc,0,Robert,Rodgers
263,40,Other-service,0,Husband,9,Male,Federal-gov,0,Lonnie,Russell
264,45,Prof-specialty,0,Husband,16,Male,Private,1977,Jeffrey,Downs
265,35,Sales,0,Wife,9,Female,Private,0,Dr.,Elizabeth
266,40,Other-service,0,Unmarried,,Female,Private,0,Gabriel,Rogers
267,40,Tech-support,0,Not-in-family,12,Female,Private,0,Mrs.,Brandy
268,50,Prof-specialty,0,Wife,13,Female,Private,0,April,Miller
269,30,Other-service,0,Own-child,8,Male,Private,0,Denise,Nelson
270,40,Adm-clerical,0,Unmarried,9,Female,Private,0,Phillip,Ray
271,16,Adm-clerical,0,Unmarried,13,Female,Private,0,Mark,Valenzuela
272,60,Adm-clerical,0,Wife,9,Female,Private,0,Olivia,Davies
273,40,Adm-clerical,0,Unmarried,11,Female,State-gov,0,Kristi,Mcintyre
274,40,Transport-moving,0,Husband,9,Male,Private,0,Nicolas,Gonzales
275,48,Exec-managerial,0,Husband,14,Male,Private,0,Alison,Dunn
276,40,Adm-clerical,0,Not-in-family,10,Female,Private,0,Victoria,Andrade
277,70,Craft-repair,0,Husband,11,Male,Self-emp-inc,0,Jenna,Delgado
278,40,Craft-repair,0,Own-child,9,Male,Private,0,Brittany,Kelly
279,38,Adm-clerical,0,Unmarried,10,Female,Private,0,Allison,Watts
280,60,Sales,0,Husband,13,Male,Private,1977,Mr.,Derrick
281,40,Sales,0,Husband,9,Male,Private,0,Patricia,Wilson
282,35,Exec-managerial,0,Husband,10,Male,Self-emp-not-inc,2149,Jill,Hill
283,60,Exec-managerial,13550,Not-in-family,9,Female,Self-emp-not-inc,0,Deanna,Alexander
284,40,Handlers-cleaners,0,Own-child,10,Male,Private,0,Brent,Barton
285,45,Farming-fishing,0,Unmarried,10,Male,Private,0,Richard,White
286,20,Adm-clerical,0,Wife,10,Female,Private,1902,Kristopher,Rubio
287,40,Exec-managerial,0,Not-in-family,9,Female,Federal-gov,0,Alicia,Silva
288,38,Tech-support,0,Unmarried,10,Female,Private,0,Tammy,Taylor
289,40,Adm-clerical,0,Other-relative,10,Female,Private,0,Julia,Montgomery
290,40,Adm-clerical,0,Not-in-family,9,Female,State-gov,0,Victoria,Tran
291,20,Other-service,0,Own-child,10,Female,Private,0,Tara,Robles
292,40,Craft-repair,0,Husband,9,Male,Private,0,Jeremy,Moore
293,45,Exec-managerial,0,Unmarried,14,Male,Local-gov,0,April,Meyer
294,99,Sales,0,Husband,9,Male,Private,1977,Scott,Hill
295,60,Transport-moving,15024,Husband,10,Male,Private,0,Eric,Pierce
296,45,Other-service,0,Husband,11,Male,Self-emp-not-inc,0,Jody,Johnson
297,40,Protective-serv,0,Husband,11,Male,Local-gov,0,Monica,Dyer
298,40,Prof-specialty,0,Unmarried,11,Female,Private,0,Luke,Sims
299,30,Sales,0,Not-in-family,13,Female,Private,0,Brandon,Banks
300,35,Prof-specialty,0,Husband,14,Male,Local-gov,0,Charles,Baldwin
301,40,Machine-op-inspct,0,Own-child,9,Male,Private,0,Jessica,Perez
302,40,Other-service,0,Husband,11,Male,Private,0,Alexis,Thomas
303,40,Craft-repair,0,Husband,10,Male,Private,0,Jeffery,Richardson
304,36,Prof-specialty,4865,Not-in-family,13,Female,Private,0,Matthew,Henry
305,40,Adm-clerical,0,Wife,11,Female,Private,0,Laura,Miller
306,40,Craft-repair,0,Not-in-family,9,Male,Private,0,Christopher,Dean
307,35,Exec-managerial,0,Husband,13,Male,Private,0,Shannon,Turner
308,40,Protective-serv,0,Husband,9,Male,Private,0,Alyssa,Rivera
309,24,Other-service,0,Wife,8,Female,Private,0,Ariana,Williams
310,50,Farming-fishing,0,Husband,9,Male,Private,0,Sharon,Bartlett
311,40,Craft-repair,0,Not-in-family,9,Male,Private,0,Andrea,Jones
312,40,Craft-repair,0,Husband,10,Male,Private,0,Mark,Hoffman
313,40,,0,Own-child,9,Male,,0,Sandra,Wallace
314,10,Other-service,0,Wife,9,Female,Private,0,Daniel,Lozano
315,40,Craft-repair,0,Husband,11,Male,Private,0,Erika,Carlson
316,70,Exec-managerial,8614,Not-in-family,11,Female,Self-emp-inc,0,Lee,Mcguire
317,45,Exec-managerial,0,Not-in-family,13,Female,Private,0,Denise,Molina
318,40,?,0,Own-child,9,Male,?,0,Jason,Mckee
319,45,,0,Husband,6,Male,,0,Kaitlin,Rogers
320,60,Craft-repair,0,Husband,9,Male,Self-emp-not-inc,0,Andrew,Roach
321,35,Prof-specialty,0,Unmarried,13,Female,Local-gov,0,Megan,Bean
322,40,Machine-op-inspct,0,Not-in-family,9,Female,Private,0,Laura,Knight
323,55,Craft-repair,0,Husband,10,Male,Private,0,Nichole,Johnson
324,40,Sales,1506,Unmarried,12,Female,Self-emp-inc,0,Ashley,White
325,24,Adm-clerical,15024,Wife,9,Female,Private,0,Kelly,Caldwell
326,40,Farming-fishing,0,Not-in-family,10,Female,Private,0,Penny,Lewis
327,54,Exec-managerial,0,Husband,10,Male,Private,0,Malik,Owens
328,40,Adm-clerical,0,Husband,11,Male,Private,0,Jonathan,Wright
329,50,Craft-repair,0,Husband,9,Male,Private,0,Bethany,Cox
330,40,Transport-moving,0,Husband,9,Male,Private,0,Kimberly,Harris
331,35,Sales,0,Husband,13,Male,Private,0,Andrew,Mcdonald
332,40,Adm-clerical,0,Unmarried,7,Female,Private,0,Mr.,Zachary
333,25,Transport-moving,0,Husband,9,Male,Private,0,Richard,Smith
334,40,Transport-moving,0,Husband,6,Male,Private,0,Karen,Greene
335,50,Sales,0,Not-in-family,13,Male,Private,0,Matthew,Garza
336,36,Craft-repair,0,Husband,4,Male,Private,0,Larry,Hansen
337,40,Other-service,0,Not-in-family,9,Female,Private,0,Douglas,Torres
338,40,Exec-managerial,0,Unmarried,13,Female,Private,0,Yesenia,Wagner
339,45,Prof-specialty,0,Husband,14,Male,State-gov,1887,Kimberly,Hawkins
340,44,Sales,0,Husband,13,Male,Private,0,John,Madden
341,30,,0,Own-child,7,Male,,1602,Tonya,Powell
342,48,Machine-op-inspct,0,Other-relative,8,Female,Private,0,Lisa,Spears
343,40,Prof-specialty,0,Not-in-family,13,Female,Local-gov,0,Sandra,King
344,40,Adm-clerical,3464,Wife,13,Female,Private,0,Emily,Rice
345,35,?,8614,Not-in-family,14,Female,?,0,Mr.,Scott
346,20,Prof-specialty,0,Husband,13,Male,State-gov,0,Hannah,Miller
347,55,Sales,0,Not-in-family,10,Female,Private,0,Luis,Pope
348,28,Other-service,0,Own-child,10,Male,Private,0,Lori,Hamilton
349,40,Exec-managerial,0,Husband,13,Male,Private,0,Annette,Black
350,60,Exec-managerial,0,Not-in-family,13,Female,Private,0,Logan,Hanson
351,50,Craft-repair,0,Husband,9,Male,Self-emp-not-inc,0,Bradley,Turner
352,40,Exec-managerial,0,Husband,9,Male,Private,0,Mikayla,Henry
353,40,Craft-repair,0,Not-in-family,10,Male,Private,0,Aaron,Flynn
354,50,Machine-op-inspct,0,Not-in-family,9,Male,Private,0,Sylvia,Williams
355,40,Craft-repair,0,Own-child,9,Male,Private,0,Samuel,Mclean
356,40,Tech-support,0,Not-in-family,11,Male,Private,0,Sabrina,Salazar
357,40,Exec-managerial,4650,Not-in-family,14,Female,Private,0,Jennifer,Goodwin
358,40,?,0,Own-child,10,Male,?,0,Jessica,Cole
