,marital-status,workclass,occupation,salary,relationship,hours-per-week,sex,native-country,first_name,last_names
16327,Married-civ-spouse,Self-emp-inc,Machine-op-inspct,<=50K,Husband,70,Male,Germany,Ms.,Connie
16328,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,50,Male,United-States,Danielle,Logan
16329,Married-civ-spouse,Federal-gov,Exec-managerial,>50K.,Wife,40,Female,United-States,Corey,Deleon
16330,Divorced,,,<=50K.,Other-relative,40,Female,United-States,Robert,Owens
16331,Never-married,State-gov,Prof-specialty,<=50K,Not-in-family,8,Female,United-States,Allen,Hubbard
16332,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,46,Male,United-States,Barbara,Bright
16333,Never-married,?,?,<=50K,Own-child,40,Female,United-States,David,Kane
16334,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,50,Male,United-States,Timothy,Black
16335,Never-married,Private,Adm-clerical,<=50K,Own-child,40,Male,United-States,Kimberly,Jenkins
16336,Divorced,Private,Transport-moving,<=50K,Own-child,60,Male,United-States,Joshua,George
16337,Never-married,Private,Adm-clerical,<=50K.,Not-in-family,40,Male,United-States,Kaitlyn,Savage
16338,Married-civ-spouse,Self-emp-not-inc,Transport-moving,>50K.,Husband,60,Male,United-States,Jessica,Armstrong
16339,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K.,Wife,7,Female,United-States,Dr.,Timothy
16340,Never-married,Private,Adm-clerical,<=50K.,Own-child,35,Male,United-States,Geoffrey,Downs
16341,Never-married,Private,Prof-specialty,<=50K,Other-relative,3,Male,United-States,Ryan,Odom
16342,Never-married,Private,Transport-moving,<=50K.,Own-child,40,Male,United-States,Benjamin,Sanders
16343,Married-civ-spouse,Private,Craft-repair,>50K,Husband,40,Male,United-States,Joseph,Downs
16344,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,60,Male,United-States,Jillian,Gates
16345,Divorced,Self-emp-not-inc,Prof-specialty,>50K,Unmarried,60,Male,United-States,Angelica,Diaz
16346,Widowed,Private,Sales,<=50K,Not-in-family,30,Female,United-States,Stephanie,Woods
16347,Never-married,Private,Handlers-cleaners,<=50K.,Not-in-family,50,Male,United-States,Wayne,Rodriguez
16348,Never-married,Private,Exec-managerial,<=50K,Not-in-family,60,Female,United-States,Colleen,Yoder
16349,Widowed,Private,Priv-house-serv,<=50K,Not-in-family,40,Female,United-States,Dennis,Stein
16350,Married-civ-spouse,Private,Handlers-cleaners,>50K.,Husband,38,Male,United-States,Joshua,Key
16351,Married-civ-spouse,Private,Machine-op-inspct,>50K,Wife,40,Female,United-States,Jared,Cooper
16352,Married-civ-spouse,,,<=50K.,Wife,40,Female,United-States,Summer,Walters
16353,Divorced,Private,Adm-clerical,<=50K,Unmarried,36,Female,United-States,Angela,Donaldson
16354,Widowed,Private,Craft-repair,<=50K.,Not-in-family,10,Male,United-States,Stephanie,Horton
16355,Never-married,Private,Sales,<=50K,Own-child,42,Male,United-States,Brandon,Armstrong
16356,Married-civ-spouse,Private,Craft-repair,>50K,Husband,50,Male,United-States,Patricia,Marsh
16357,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K,Husband,40,Male,United-States,Timothy,Cortez
16358,Never-married,Private,Craft-repair,<=50K,Not-in-family,40,Male,United-States,William,Soto
16359,Never-married,Private,Priv-house-serv,<=50K,Unmarried,40,Female,United-States,Lindsay,Shields
16360,Never-married,Private,Exec-managerial,<=50K,Not-in-family,60,Female,United-States,Tamara,Young
16361,Never-married,Private,Craft-repair,<=50K.,Unmarried,40,Male,Mexico,Jessica,Gilmore
16362,Never-married,Local-gov,Adm-clerical,<=50K,Not-in-family,35,Female,United-States,Michael,Zamora
16363,Never-married,?,?,<=50K,Own-child,40,Male,United-States,Michelle,Lewis
16364,Never-married,Self-emp-not-inc,Craft-repair,>50K,Unmarried,50,Male,United-States,Spencer,Duncan
16365,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,40,Male,United-States,Vanessa,Rodriguez
16366,Never-married,Private,Sales,<=50K.,Own-child,24,Female,United-States,Michael,Diaz
16367,Divorced,Private,Sales,<=50K.,Other-relative,40,Female,United-States,Keith,Aguirre
16368,Never-married,Self-emp-inc,Exec-managerial,<=50K,Not-in-family,70,Male,Cuba,Bradley,Owens
16369,Married-civ-spouse,Private,Sales,<=50K,Husband,40,Male,?,Corey,Greene
16370,Married-civ-spouse,Private,Tech-support,>50K,Husband,40,Male,United-States,Erica,Jones
16371,Married-civ-spouse,Private,Transport-moving,<=50K,Husband,40,Male,United-States,Bridget,Thomas
16372,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,>50K.,Husband,50,Male,United-States,Henry,Johns
16373,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,United-States,Gary,Hardin
16374,Divorced,Private,Exec-managerial,<=50K,Not-in-family,60,Male,United-States,Scott,Bryant
16375,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K,Husband,40,Male,United-States,Mark,Gillespie
16376,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,<=50K,Husband,40,Male,United-States,Jordan,Sharp
16377,Married-civ-spouse,Private,Handlers-cleaners,<=50K,Husband,40,Male,United-States,Claudia,Jensen
16378,Never-married,Private,Adm-clerical,<=50K.,Unmarried,40,Female,United-States,Thomas,Cortez
16379,Never-married,Private,Other-service,<=50K,Own-child,20,Male,United-States,Janet,Freeman
16380,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,38,Male,,Cathy,Reed
16381,Never-married,State-gov,Prof-specialty,<=50K.,Unmarried,40,Male,United-States,Amy,Valdez
16382,Never-married,Private,Sales,<=50K,Not-in-family,40,Female,United-States,Bryan,Bailey
16383,Never-married,Private,Other-service,<=50K,Own-child,20,Female,United-States,Becky,Smith
16384,Never-married,Private,Exec-managerial,<=50K,Own-child,40,Female,United-States,Vanessa,Landry
16385,Never-married,Private,Craft-repair,<=50K,Own-child,35,Male,United-States,Julie,Brandt
16386,Divorced,Private,Priv-house-serv,<=50K,Unmarried,24,Female,United-States,Scott,Huffman
16387,Divorced,Private,Craft-repair,<=50K,Unmarried,40,Male,United-States,Kaitlyn,Copeland
16388,Never-married,,,<=50K.,Own-child,40,Male,United-States,Jeremy,Hubbard
16389,Never-married,Private,Sales,<=50K,Own-child,24,Female,United-States,Dr.,Lawrence
16390,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,67,Male,India,Karen,Schmidt
16391,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K,Husband,40,Male,United-States,Thomas,Watkins
16392,Married-civ-spouse,Self-emp-not-inc,Transport-moving,<=50K,Husband,60,Male,United-States,Stacy,Jones
16393,Married-civ-spouse,Self-emp-inc,Prof-specialty,>50K.,Husband,50,Male,United-States,Dawn,Sandoval
16394,Married-civ-spouse,Federal-gov,Prof-specialty,<=50K,Husband,40,Male,United-States,Garrett,Mann
16395,Married-civ-spouse,Private,Transport-moving,<=50K,Husband,40,Male,United-States,Zachary,Dunn
16396,Never-married,Private,Prof-specialty,<=50K,Not-in-family,40,Female,United-States,Jessica,Murray
16397,Divorced,Private,Prof-specialty,<=50K.,Not-in-family,40,Female,United-States,Teresa,Lee
16398,Married-civ-spouse,Federal-gov,Craft-repair,<=50K,Husband,40,Male,United-States,Elizabeth,Turner
16399,Divorced,Self-emp-not-inc,Sales,<=50K,Not-in-family,60,Male,United-States,Ebony,Tyler
16400,Never-married,Private,Prof-specialty,<=50K,Not-in-family,40,Male,United-States,Patrick,Berry
16401,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,48,Male,United-States,David,Turner
16402,Married-AF-spouse,Private,Exec-managerial,>50K.,Wife,40,Female,United-States,Casey,Nguyen
16403,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K,Husband,12,Male,United-States,Elizabeth,Mcintosh
16404,Never-married,Private,Handlers-cleaners,<=50K,Own-child,32,Male,Cuba,Mrs.,Kristen
16405,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,35,Male,United-States,Victor,Rivas
16406,Never-married,Private,Machine-op-inspct,<=50K,Own-child,40,Female,Dominican-Republic,Kayla,Hudson
16407,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,<=50K,Husband,40,Male,United-States,Deborah,Castillo
16408,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K,Husband,50,Male,United-States,Shirley,Nelson
16409,Divorced,?,?,<=50K,Not-in-family,35,Female,United-States,Cindy,Brooks
16410,Married-spouse-absent,Self-emp-not-inc,Prof-specialty,<=50K,Not-in-family,50,Male,United-States,Steven,Medina
16411,Never-married,Private,Transport-moving,<=50K,Not-in-family,60,Male,United-States,Sarah,Turner
16412,Married-civ-spouse,Private,Machine-op-inspct,<=50K,Husband,48,Male,United-States,Nicole,Watts
16413,Married-civ-spouse,State-gov,Adm-clerical,<=50K,Husband,40,Male,United-States,Rebecca,Guzman
16414,Never-married,Private,Machine-op-inspct,<=50K.,Own-child,40,Female,United-States,Andrew,Velazquez
16415,Married-civ-spouse,Self-emp-inc,Prof-specialty,>50K,Husband,40,Male,United-States,Christian,Blair
16416,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K,Husband,40,Male,United-States,Kathy,Price
16417,Separated,Private,Machine-op-inspct,<=50K.,Own-child,40,Male,United-States,Terri,Perry
16418,Divorced,Private,Adm-clerical,<=50K.,Own-child,40,Female,United-States,Brittany,White
16419,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,50,Male,United-States,Corey,Espinoza
16420,Never-married,Federal-gov,Adm-clerical,<=50K.,Unmarried,40,Female,United-States,Aaron,Reeves
16421,Married-civ-spouse,Private,Adm-clerical,>50K,Wife,40,Female,United-States,Michael,Holt
16422,Married-civ-spouse,Private,Machine-op-inspct,<=50K,Husband,40,Male,Mexico,Alexander,Hensley
16423,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,50,Male,United-States,Anthony,White
16424,Never-married,Private,Prof-specialty,<=50K,Unmarried,36,Female,United-States,Jill,Hardy
16425,Married-civ-spouse,Private,Exec-managerial,<=50K.,Husband,45,Male,United-States,Carol,Morris
16426,Never-married,,,<=50K.,Own-child,50,Male,United-States,Daniel,Turner
16427,Married-civ-spouse,State-gov,Tech-support,<=50K,Husband,40,Male,United-States,Garrett,Jackson
16428,Married-civ-spouse,Private,Machine-op-inspct,>50K,Husband,43,Male,United-States,Sabrina,Silva
16429,Divorced,Local-gov,Exec-managerial,<=50K,Not-in-family,38,Female,United-States,Bryan,Hutchinson
16430,Married-civ-spouse,Federal-gov,Adm-clerical,>50K,Husband,40,Male,United-States,Natalie,Avila
16431,Married-civ-spouse,Private,Handlers-cleaners,<=50K.,Not-in-family,40,Male,Mexico,Nicole,Stephens
16432,Never-married,Self-emp-not-inc,Other-service,<=50K.,Not-in-family,40,Female,United-States,Kimberly,Crane
16433,Married-spouse-absent,Self-emp-inc,Sales,<=50K,Not-in-family,50,Male,India,Ronald,Kaiser
16434,Never-married,Private,Craft-repair,<=50K,Not-in-family,40,Male,United-States,Christina,Harmon
16435,Divorced,Private,Other-service,<=50K.,Own-child,40,Male,United-States,Patrick,Cervantes
16436,Married-civ-spouse,Self-emp-not-inc,Tech-support,>50K,Husband,50,Male,United-States,Jessica,Davidson
16437,Never-married,Private,Exec-managerial,<=50K,Own-child,90,Male,United-States,Mr.,Peter
16438,Married-civ-spouse,Self-emp-inc,Craft-repair,<=50K.,Husband,50,Male,United-States,John,Cole
16439,Divorced,Private,Adm-clerical,<=50K,Not-in-family,50,Female,United-States,John,Wall
16440,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,40,Female,United-States,Diane,Mcpherson
16441,Married-civ-spouse,Self-emp-not-inc,Other-service,<=50K,Wife,30,Female,United-States,Catherine,Clark
16442,Married-civ-spouse,Private,Exec-managerial,>50K,Wife,45,Female,United-States,Kevin,Mcbride
16443,Divorced,Private,Handlers-cleaners,<=50K.,Own-child,40,Female,United-States,Carol,Gross
16444,Married-civ-spouse,State-gov,Protective-serv,<=50K,Husband,40,Male,United-States,Brent,Roberts
16445,Married-civ-spouse,Local-gov,Adm-clerical,<=50K,Husband,14,Male,United-States,Heather,Hurley
16446,Never-married,Private,Farming-fishing,<=50K,Own-child,45,Male,United-States,Ronald,Hendricks
16447,Separated,Self-emp-not-inc,Craft-repair,<=50K,Own-child,35,Male,United-States,Tim,Thompson
16448,Divorced,Private,Adm-clerical,<=50K,Not-in-family,40,Male,United-States,Amanda,Parker
16449,Never-married,Private,Adm-clerical,<=50K,Own-child,40,Male,United-States,Deborah,Wise
16450,Never-married,Local-gov,Adm-clerical,<=50K.,Own-child,40,Female,United-States,Cassandra,Mendez
16451,Never-married,State-gov,Prof-specialty,<=50K.,Not-in-family,20,Male,United-States,Joseph,Allen
16452,Married-civ-spouse,Self-emp-not-inc,Transport-moving,<=50K.,Husband,55,Male,United-States,Kerry,Wright
16453,Never-married,Private,Other-service,<=50K,Unmarried,20,Male,Puerto-Rico,Timothy,Dean
16454,Married-civ-spouse,Private,Farming-fishing,<=50K.,Husband,35,Male,United-States,Christian,Reynolds
16455,Married-civ-spouse,Private,Adm-clerical,<=50K,Husband,40,Male,India,Bryan,Walker
16456,Married-civ-spouse,Private,Prof-specialty,<=50K,Husband,40,Male,United-States,Jessica,Leblanc
16457,Never-married,Self-emp-not-inc,Craft-repair,<=50K,Not-in-family,35,Male,United-States,Ryan,Keller
16458,Never-married,Private,Exec-managerial,<=50K,Not-in-family,30,Male,Cuba,Steven,Chapman
16459,Married-civ-spouse,Private,Prof-specialty,>50K,Husband,40,Male,United-States,Krista,Escobar
16460,Married-civ-spouse,Private,Handlers-cleaners,<=50K.,Husband,80,Male,United-States,Scott,Flores
16461,Widowed,Private,Adm-clerical,<=50K,Unmarried,20,Female,United-States,Chad,Dawson
16462,Married-civ-spouse,Local-gov,Exec-managerial,>50K,Wife,50,Female,United-States,Martin,Moody
16463,Divorced,Private,Craft-repair,<=50K,Unmarried,30,Female,United-States,Heather,Cohen
16464,Married-civ-spouse,Local-gov,Protective-serv,<=50K,Husband,40,Male,United-States,Heather,Stevens
16465,Never-married,Private,Sales,<=50K.,Not-in-family,40,Female,United-States,Mrs.,Patricia
16466,Married-civ-spouse,Private,Exec-managerial,>50K.,Husband,60,Male,United-States,Andrea,Holmes
16467,Married-civ-spouse,Private,Sales,>50K,Wife,40,Female,United-States,Russell,Ford
16468,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,48,Male,United-States,James,Fowler
16469,Never-married,Local-gov,Exec-managerial,<=50K.,Not-in-family,50,Female,United-States,Ian,Flores
16470,Never-married,Private,Machine-op-inspct,<=50K,Not-in-family,45,Male,United-States,Joseph,Russell
16471,Married-civ-spouse,?,?,>50K,Husband,40,Male,United-States,Ashley,Malone
16472,Never-married,Self-emp-not-inc,Tech-support,<=50K,Not-in-family,25,Male,United-States,Isaac,Collier
16473,Never-married,Local-gov,Other-service,<=50K,Own-child,32,Male,United-States,Jenna,Campbell
16474,Never-married,Private,Other-service,<=50K,Not-in-family,30,Male,United-States,Brandon,Vance
16475,Married-civ-spouse,Local-gov,Prof-specialty,>50K.,Husband,54,Male,United-States,Jennifer,Nolan
16476,Never-married,Private,Other-service,<=50K,Own-child,12,Female,United-States,Ann,Perez
16477,Widowed,Federal-gov,Sales,<=50K,Unmarried,40,Female,Germany,Kristen,Roberts
16478,Never-married,Private,Sales,<=50K,Own-child,8,Female,Mexico,James,Huber
16479,Never-married,Private,Other-service,<=50K.,Not-in-family,30,Male,United-States,Selena,Mcintyre
16480,Married-civ-spouse,?,?,<=50K,Wife,35,Female,United-States,Diana,Figueroa
16481,Married-civ-spouse,Federal-gov,Exec-managerial,>50K.,Husband,50,Male,United-States,Dana,Sanchez
16482,Never-married,Local-gov,Prof-specialty,<=50K,Own-child,35,Male,United-States,Alyssa,Collins
16483,Never-married,Private,Other-service,<=50K,Not-in-family,40,Male,United-States,Julie,Mcdowell
16484,Married-civ-spouse,Private,Handlers-cleaners,<=50K.,Wife,40,Female,Mexico,Brandon,Novak
16485,Married-civ-spouse,Private,Other-service,<=50K,Husband,40,Male,Italy,David,Ortiz
16486,Married-civ-spouse,Private,Transport-moving,<=50K.,Husband,60,Male,United-States,Danielle,Payne
16487,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,<=50K,Husband,21,Male,United-States,Joseph,Wolf
16488,Married-civ-spouse,Private,Machine-op-inspct,<=50K,Husband,40,Male,United-States,Sean,Curtis
16489,Never-married,Private,Sales,<=50K,Own-child,35,Female,United-States,Robert,Pearson
16490,Never-married,Private,Adm-clerical,<=50K.,Not-in-family,40,Female,United-States,Angelica,Alvarado
16491,Married-civ-spouse,Self-emp-not-inc,Craft-repair,>50K,Husband,50,Male,United-States,Nicholas,Nelson
16492,Married-civ-spouse,Private,Transport-moving,<=50K,Husband,45,Male,United-States,Tyler,Larson
16493,Divorced,Private,Craft-repair,<=50K,Not-in-family,40,Male,United-States,Edwin,Howell
16494,Married-civ-spouse,Private,Machine-op-inspct,>50K,Husband,40,Male,United-States,Jared,Reid
16495,Married-civ-spouse,Private,Machine-op-inspct,<=50K,Husband,40,Male,Mexico,Hannah,Nguyen
16496,Divorced,Self-emp-not-inc,Sales,<=50K,Unmarried,50,Male,United-States,Jeff,Holder
16497,Never-married,State-gov,Prof-specialty,<=50K.,Not-in-family,40,Female,United-States,Brenda,Wu
16498,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,40,Female,United-States,Donna,Carrillo
16499,Never-married,Private,Craft-repair,<=50K.,Not-in-family,40,Male,United-States,Noah,Daniels
16500,Never-married,Private,Craft-repair,<=50K.,Other-relative,40,Male,United-States,Sara,Morrison
16501,Married-civ-spouse,Private,Adm-clerical,<=50K.,Husband,36,Male,United-States,Melanie,Lawson
16502,Never-married,Private,Other-service,<=50K,Not-in-family,38,Female,United-States,Tyrone,Miller
16503,Never-married,Private,Handlers-cleaners,<=50K.,Own-child,40,Male,United-States,Bobby,Perkins
16504,Divorced,Private,Adm-clerical,<=50K.,Not-in-family,22,Female,United-States,Mr.,William
16505,Married-civ-spouse,Private,Sales,>50K,Husband,50,Male,United-States,Kari,Miller
16506,Married-civ-spouse,Private,Craft-repair,>50K.,Husband,40,Male,United-States,Alexander,Jordan
16507,Married-civ-spouse,,,<=50K.,Husband,40,Male,United-States,Eric,Cook
16508,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,20,Male,United-States,Justin,Wright
16509,Never-married,Self-emp-not-inc,Craft-repair,<=50K,Own-child,50,Male,United-States,Christian,Castro
16510,Divorced,Private,Craft-repair,<=50K.,Not-in-family,50,Male,United-States,Derek,Taylor
16511,Divorced,Private,Craft-repair,<=50K,Not-in-family,35,Male,United-States,Charles,Kim
16512,Never-married,Self-emp-not-inc,Exec-managerial,<=50K,Not-in-family,12,Male,United-States,Robin,Brown
16513,Never-married,Private,Other-service,<=50K,Not-in-family,40,Male,United-States,Amy,Caldwell
16514,Married-civ-spouse,Private,Machine-op-inspct,>50K,Wife,40,Female,United-States,Adam,Donaldson
16515,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K.,Husband,40,Male,United-States,Donald,Tyler
16516,Widowed,Private,Craft-repair,<=50K.,Own-child,60,Male,United-States,Amy,Coleman
16517,Never-married,Private,Craft-repair,<=50K.,Not-in-family,40,Male,United-States,Elizabeth,Osborn
16518,Never-married,Private,Sales,<=50K.,Not-in-family,30,Male,United-States,John,Kennedy
16519,Widowed,Private,Prof-specialty,>50K,Unmarried,55,Female,United-States,Diana,Foster
16520,Never-married,Private,Exec-managerial,<=50K.,Not-in-family,50,Female,United-States,Mikayla,Mercado
16521,Never-married,State-gov,Prof-specialty,<=50K.,Not-in-family,5,Female,United-States,Maria,Barnett
16522,Married-civ-spouse,Private,Tech-support,<=50K,Husband,40,Male,United-States,Felicia,Munoz
16523,Divorced,Private,Craft-repair,<=50K.,Not-in-family,40,Male,United-States,Jackson,Chase
16524,Divorced,?,?,<=50K,Not-in-family,40,Female,United-States,Cory,Cook
16525,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,United-States,Mathew,Krause
16526,Never-married,Private,Craft-repair,<=50K,Own-child,25,Male,United-States,Jessica,Chung
16527,Never-married,Local-gov,Adm-clerical,<=50K,Own-child,40,Female,United-States,Robert,Brewer
16528,Widowed,Private,Sales,<=50K,Not-in-family,32,Female,United-States,Julie,Yates
16529,Never-married,Private,Adm-clerical,<=50K,Unmarried,40,Female,Jamaica,Angel,Butler
16530,Married-civ-spouse,?,?,<=50K,Husband,40,Male,United-States,Colton,Wilson
16531,Never-married,Private,Other-service,<=50K,Own-child,50,Male,United-States,Faith,Huffman
16532,Widowed,Private,Craft-repair,<=50K,Unmarried,10,Male,United-States,Jose,Waters
16533,Divorced,State-gov,Prof-specialty,>50K,Not-in-family,60,Female,United-States,Ann,Garrett
16534,Never-married,Private,Other-service,<=50K,Own-child,40,Female,United-States,Angela,Francis
16535,Married-civ-spouse,Private,Handlers-cleaners,<=50K.,Husband,40,Male,Vietnam,Melanie,Bean
16536,Married-civ-spouse,Private,Handlers-cleaners,<=50K,Husband,44,Male,United-States,Rhonda,Hayes
16537,Never-married,Private,Sales,<=50K,Not-in-family,40,Male,United-States,David,Gonzales
16538,Married-civ-spouse,Private,Tech-support,>50K,Husband,40,Male,United-States,Carlos,Lopez
16539,Never-married,?,?,<=50K,Own-child,25,Female,United-States,Kim,Simon
16540,Never-married,Private,Other-service,<=50K,Own-child,16,Female,United-States,Erika,Ayala
16541,Married-civ-spouse,Private,Exec-managerial,>50K,Husband,50,Male,United-States,Brenda,Henderson
16542,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,?,Brent,Holloway
16543,Never-married,Private,Adm-clerical,<=50K,Not-in-family,40,Male,Vietnam,Mr.,Eric
16544,Married-civ-spouse,Private,Transport-moving,<=50K.,Husband,30,Male,United-States,Veronica,Bailey
16545,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,<=50K.,Husband,60,Male,United-States,Natasha,Padilla
16546,Married-civ-spouse,Local-gov,Adm-clerical,<=50K,Husband,40,Male,United-States,Kyle,Sweeney
16547,Divorced,Self-emp-inc,Exec-managerial,<=50K,Unmarried,32,Female,United-States,Pamela,Henry
16548,Divorced,Private,Craft-repair,<=50K,Unmarried,99,Male,United-States,Gregory,Davenport
16549,Married-civ-spouse,Private,Craft-repair,<=50K,Husband,40,Male,United-States,Natalie,Richards
16550,Never-married,?,?,<=50K,Not-in-family,35,Male,United-States,Caitlin,Martin
16551,Divorced,Private,Prof-specialty,>50K,Not-in-family,50,Female,United-States,Kelly,Winters
16552,Married-civ-spouse,Private,Craft-repair,>50K,Husband,40,Male,United-States,Kaitlyn,Mullen
16553,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K,Husband,50,Male,Greece,Marcia,Butler
16554,Married-civ-spouse,Self-emp-not-inc,Other-service,>50K,Wife,15,Female,United-States,Willie,Evans
16555,Married-civ-spouse,State-gov,Prof-specialty,>50K.,Husband,70,Male,United-States,Denise,Cain
